chamber_before_election,chamber_after_election,Party,Candidate,Year,Ideology,Nominate_D1_before,Nominate_D2_before,NP_D1_before,NP_D2_before,Nominate_D1_after,Nominate_D2_after,NP_D1_after,NP_D2_after
House,House,Republican,Lamar Smith,2016,1.611,0.425,0.061,0.491,0.116,0.425,0.061,0.57,0.244
NA,House,Republican,Lamar Smith,2018,1.68,NA,NA,NA,NA,0.425,0.061,0.491,0.116
House,House,Democratic,Henry Cuellar,2010,-1.435,-0.225,0.633,-0.226,0.541,-0.225,0.633,-0.239,0.52
House,House,Democratic,Henry Cuellar,2012,-1.351,-0.225,0.633,-0.23,0.571,-0.225,0.633,-0.226,0.541
House,House,Democratic,Henry Cuellar,2014,-1.223,-0.225,0.633,-0.24,0.765,-0.225,0.633,-0.23,0.571
House,House,Democratic,Henry Cuellar,2016,-1.151,-0.225,0.633,-0.225,0.63,-0.225,0.633,-0.24,0.765
House,House,Democratic,Henry Cuellar,2018,-1.189,-0.225,0.633,-0.359,0.9,-0.225,0.633,-0.225,0.63
House,House,Democratic,Henry Cuellar,2020,-1.006,-0.225,0.633,-0.287,0.684,-0.225,0.633,-0.359,0.9
House,House,Democratic,Henry Cuellar,2022,-0.973,-0.225,0.633,-0.193,0.67,-0.225,0.633,-0.287,0.684
House,House,Democratic,Henry Cuellar,2024,-0.981,-0.225,0.633,-0.172,0.786,-0.225,0.633,-0.193,0.67
House,House,Democratic,Anna Eshoo,2010,-2.381,-0.379,-0.372,-0.336,-0.457,-0.379,-0.372,-0.422,-0.203
House,House,Democratic,Anna Eshoo,2012,-2.421,-0.379,-0.372,-0.379,-0.407,-0.379,-0.372,-0.336,-0.457
House,House,Democratic,Anna Eshoo,2014,-2.417,-0.379,-0.372,-0.374,-0.297,-0.379,-0.372,-0.379,-0.407
House,House,Democratic,Anna Eshoo,2016,-2.281,-0.379,-0.372,-0.33,-0.545,-0.379,-0.372,-0.374,-0.297
House,House,Democratic,Anna Eshoo,2018,-2.295,-0.379,-0.372,-0.395,-0.213,-0.379,-0.372,-0.33,-0.545
House,House,Democratic,Anna Eshoo,2020,-2.205,-0.379,-0.372,-0.362,-0.124,-0.379,-0.372,-0.395,-0.213
House,House,Democratic,Anna Eshoo,2022,-2.157,-0.379,-0.372,-0.406,0.093,-0.379,-0.372,-0.362,-0.124
NA,House,Democratic,Anna Eshoo,2024,-2.291,NA,NA,NA,NA,-0.379,-0.372,-0.406,0.093
House,House,Democratic,Peter Welch,2010,-2.316,-0.407,-0.383,-0.37,-0.247,-0.407,-0.383,-0.464,-0.303
House,House,Democratic,Peter Welch,2012,-2.341,-0.407,-0.383,-0.414,-0.348,-0.407,-0.383,-0.37,-0.247
House,House,Democratic,Peter Welch,2014,-2.389,-0.407,-0.383,-0.405,-0.506,-0.407,-0.383,-0.414,-0.348
House,House,Democratic,Peter Welch,2016,-2.259,-0.407,-0.383,-0.393,-0.585,-0.407,-0.383,-0.405,-0.506
House,House,Democratic,Peter Welch,2018,-2.286,-0.407,-0.383,-0.53,-0.324,-0.407,-0.383,-0.393,-0.585
House,House,Democratic,Peter Welch,2020,-2.352,-0.407,-0.383,-0.301,-0.469,-0.407,-0.383,-0.53,-0.324
Senate,House,Democratic,Peter Welch,2022,-2.411,-0.407,-0.383,-0.512,-0.589,-0.407,-0.383,-0.301,-0.469
Senate,Senate,Democratic,Peter Welch,2024,-2.456,-0.407,-0.383,-0.359,-0.436,-0.407,-0.383,-0.512,-0.589
House,House,Democratic,Henry Waxman,2010,-2.944,-0.473,-0.343,-0.428,-0.216,-0.473,-0.343,-0.5,-0.306
House,House,Democratic,Henry Waxman,2012,-2.735,-0.473,-0.343,-0.463,-0.174,-0.473,-0.343,-0.428,-0.216
NA,House,Democratic,Henry Waxman,2014,-2.827,NA,NA,NA,NA,-0.473,-0.343,-0.463,-0.174
House,House,Democratic,Yvette D. Clarke,2010,-2.671,-0.607,-0.26,-0.646,-0.182,-0.607,-0.26,-0.565,-0.346
House,House,Democratic,Yvette D. Clarke,2012,-2.52,-0.607,-0.26,-0.598,-0.136,-0.607,-0.26,-0.646,-0.182
House,House,Democratic,Yvette D. Clarke,2014,-2.466,-0.607,-0.26,-0.594,-0.401,-0.607,-0.26,-0.598,-0.136
House,House,Democratic,Yvette D. Clarke,2016,-2.41,-0.607,-0.26,-0.66,-0.051,-0.607,-0.26,-0.594,-0.401
House,House,Democratic,Yvette D. Clarke,2018,-2.507,-0.607,-0.26,-0.52,-0.623,-0.607,-0.26,-0.66,-0.051
House,House,Democratic,Yvette D. Clarke,2020,-2.517,-0.607,-0.26,-0.483,-0.491,-0.607,-0.26,-0.52,-0.623
House,House,Democratic,Yvette D. Clarke,2022,-2.434,-0.607,-0.26,-0.514,-0.458,-0.607,-0.26,-0.483,-0.491
House,House,Democratic,Yvette D. Clarke,2024,-2.592,-0.607,-0.26,-0.588,-0.462,-0.607,-0.26,-0.514,-0.458
House,House,Democratic,Diana DeGette,2010,-2.725,-0.431,-0.307,-0.406,-0.288,-0.431,-0.307,-0.428,-0.035
House,House,Democratic,Diana DeGette,2012,-2.64,-0.431,-0.307,-0.4,-0.36,-0.431,-0.307,-0.406,-0.288
House,House,Democratic,Diana DeGette,2014,-2.56,-0.431,-0.307,-0.429,-0.171,-0.431,-0.307,-0.4,-0.36
House,House,Democratic,Diana DeGette,2016,-2.442,-0.431,-0.307,-0.379,-0.399,-0.431,-0.307,-0.429,-0.171
House,House,Democratic,Diana DeGette,2018,-2.414,-0.431,-0.307,-0.4,-0.356,-0.431,-0.307,-0.379,-0.399
House,House,Democratic,Diana DeGette,2020,-2.442,-0.431,-0.307,-0.371,-0.253,-0.431,-0.307,-0.4,-0.356
House,House,Democratic,Diana DeGette,2022,-2.378,-0.431,-0.307,-0.407,-0.327,-0.431,-0.307,-0.371,-0.253
House,House,Democratic,Diana DeGette,2024,-2.395,-0.431,-0.307,-0.721,0.178,-0.431,-0.307,-0.407,-0.327
House,House,Republican,Frank Wolf,2010,1.109,0.284,-0.213,0.254,-0.042,0.284,-0.213,0.268,0.178
House,House,Republican,Frank Wolf,2012,1.088,0.284,-0.213,0.264,-0.002,0.284,-0.213,0.254,-0.042
NA,House,Republican,Frank Wolf,2014,1.153,NA,NA,NA,NA,0.284,-0.213,0.264,-0.002
NA,House,Democratic,Kathy Hochul,2012,-1.57,NA,NA,NA,NA,-0.239,0.317,-0.219,0.232
House,House,Republican,Chris Collins,2014,1.358,0.357,0.236,0.358,0.225,0.357,0.236,0.383,0.168
House,House,Republican,Chris Collins,2016,1.329,0.357,0.236,0.355,0.323,0.357,0.236,0.358,0.225
House,House,Republican,Chris Collins,2018,1.693,0.357,0.236,0.328,0.316,0.357,0.236,0.355,0.323
House,House,Republican,Christopher Lee,2010,1.205,0.313,0.16,0.47,0.878,0.313,0.16,0.318,0.091
NA,House,Republican,Christopher Lee,2012,1.173,NA,NA,NA,NA,0.313,0.16,0.47,0.878
House,House,Republican,Jim Gerlach,2010,1.077,0.221,-0.107,0.209,-0.056,0.221,-0.107,0.245,-0.268
House,House,Republican,Jim Gerlach,2012,1.039,0.221,-0.107,0.233,0.205,0.221,-0.107,0.209,-0.056
NA,House,Republican,Jim Gerlach,2014,0.904,NA,NA,NA,NA,0.221,-0.107,0.233,0.205
House,House,Democratic,Allyson Schwartz,2010,-2.457,-0.343,-0.008,-0.342,-0.035,-0.343,-0.008,-0.333,0.166
House,House,Democratic,Allyson Schwartz,2012,-2.431,-0.343,-0.008,-0.386,0.035,-0.343,-0.008,-0.342,-0.035
NA,House,Democratic,Allyson Schwartz,2014,-2.421,NA,NA,NA,NA,-0.343,-0.008,-0.386,0.035
House,House,Republican,Peter T. King,2010,1.37,0.259,-0.03,0.227,0.227,0.259,-0.03,0.238,0.245
House,House,Republican,Peter T. King,2012,1.381,0.259,-0.03,0.201,0.087,0.259,-0.03,0.227,0.227
House,House,Republican,Peter T. King,2014,1.296,0.259,-0.03,0.22,0.255,0.259,-0.03,0.201,0.087
House,House,Republican,Peter T. King,2016,1.227,0.259,-0.03,0.239,0.033,0.259,-0.03,0.22,0.255
House,House,Republican,Peter T. King,2018,1.23,0.259,-0.03,0.253,0.007,0.259,-0.03,0.239,0.033
NA,House,Republican,Peter T. King,2020,1.437,NA,NA,NA,NA,0.259,-0.03,0.253,0.007
House,House,Democratic,Carolyn McCarty,2010,-1.998,-0.294,-0.04,-0.317,0.08,-0.294,-0.04,-0.321,0.049
House,House,Democratic,Carolyn McCarty,2012,-1.876,-0.294,-0.04,-0.313,0.145,-0.294,-0.04,-0.317,0.08
NA,House,Democratic,Carolyn McCarty,2014,-1.814,NA,NA,NA,NA,-0.294,-0.04,-0.313,0.145
House,House,Democratic,Donna Edwards,2010,-2.569,-0.562,-0.294,-0.56,-0.256,-0.562,-0.294,-0.584,-0.391
House,House,Democratic,Donna Edwards,2012,-2.565,-0.562,-0.294,-0.6,-0.42,-0.562,-0.294,-0.56,-0.256
House,House,Democratic,Donna Edwards,2014,-2.555,-0.562,-0.294,-0.474,-0.242,-0.562,-0.294,-0.6,-0.42
NA,House,Democratic,Donna Edwards,2016,-2.491,NA,NA,NA,NA,-0.562,-0.294,-0.474,-0.242
House,House,Democratic,John Delaney,2014,-1.835,-0.276,0.041,-0.259,0.022,-0.276,0.041,-0.285,0.008
House,House,Democratic,John Delaney,2016,-1.765,-0.276,0.041,-0.282,0.111,-0.276,0.041,-0.259,0.022
NA,House,Democratic,John Delaney,2018,-1.685,NA,NA,NA,NA,-0.276,0.041,-0.282,0.111
House,House,Republican,Roscoe Bartlett,2010,1.55,0.493,-0.091,0.424,-0.287,0.493,-0.091,0.472,0.089
NA,House,Republican,Roscoe Bartlett,2012,1.562,NA,NA,NA,NA,0.493,-0.091,0.424,-0.287
House,House,Republican,Dana Rohrabacher,2010,1.739,0.626,-0.417,0.631,-0.475,0.626,-0.417,0.612,-0.403
House,House,Republican,Dana Rohrabacher,2012,1.745,0.626,-0.417,0.669,-0.744,0.626,-0.417,0.631,-0.475
House,House,Republican,Dana Rohrabacher,2014,1.712,0.626,-0.417,0.612,-0.501,0.626,-0.417,0.669,-0.744
House,House,Republican,Dana Rohrabacher,2016,1.794,0.626,-0.417,0.609,-0.549,0.626,-0.417,0.612,-0.501
NA,House,Republican,Dana Rohrabacher,2018,1.95,NA,NA,NA,NA,0.626,-0.417,0.609,-0.549
House,House,Democratic,Alan Lowenthal,2014,-2.312,-0.449,-0.384,-0.397,-0.41,-0.449,-0.384,-0.474,-0.304
House,House,Democratic,Alan Lowenthal,2016,-2.251,-0.449,-0.384,-0.478,-0.358,-0.449,-0.384,-0.397,-0.41
House,House,Democratic,Alan Lowenthal,2018,-2.229,-0.449,-0.384,-0.482,-0.52,-0.449,-0.384,-0.478,-0.358
House,House,Democratic,Alan Lowenthal,2020,-2.255,-0.449,-0.384,-0.409,-0.501,-0.449,-0.384,-0.482,-0.52
NA,House,Democratic,Alan Lowenthal,2022,-2.214,NA,NA,NA,NA,-0.449,-0.384,-0.409,-0.501
NA,House,Republican,Allen West,2012,2.627,NA,NA,NA,NA,0.451,0.043,0.452,-0.051
House,House,Democratic,Lois Frankel,2014,-2.165,-0.396,-0.024,-0.428,-0.054,-0.396,-0.024,-0.421,-0.022
House,House,Democratic,Lois Frankel,2016,-2.295,-0.396,-0.024,-0.362,-0.256,-0.396,-0.024,-0.428,-0.054
House,House,Democratic,Lois Frankel,2018,-2.278,-0.396,-0.024,-0.345,-0.022,-0.396,-0.024,-0.362,-0.256
House,House,Democratic,Lois Frankel,2020,-2.235,-0.396,-0.024,-0.524,0.174,-0.396,-0.024,-0.345,-0.022
House,House,Democratic,Lois Frankel,2022,-2.295,-0.396,-0.024,-0.398,0.187,-0.396,-0.024,-0.524,0.174
House,House,Democratic,Lois Frankel,2024,-2.367,-0.396,-0.024,-0.461,0.355,-0.396,-0.024,-0.398,0.187
NA,House,Democratic,Ron Klein,2010,-2.18,NA,NA,NA,NA,-0.265,-0,-0.265,-0.059
House,House,Democratic,Collin C. Peterson,2010,-0.653,-0.148,0.712,-0.147,0.76,-0.148,0.712,-0.219,0.976
House,House,Democratic,Collin C. Peterson,2012,-0.614,-0.148,0.712,-0.145,0.618,-0.148,0.712,-0.147,0.76
House,House,Democratic,Collin C. Peterson,2014,-0.748,-0.148,0.712,-0.107,0.584,-0.148,0.712,-0.145,0.618
House,House,Democratic,Collin C. Peterson,2016,-0.665,-0.148,0.712,-0.218,0.834,-0.148,0.712,-0.107,0.584
House,House,Democratic,Collin C. Peterson,2018,-0.863,-0.148,0.712,-0.156,0.752,-0.148,0.712,-0.218,0.834
NA,House,Democratic,Collin C. Peterson,2020,-0.724,NA,NA,NA,NA,-0.148,0.712,-0.156,0.752
House,House,Democratic,Rick Nolan,2014,-2.028,-0.372,-0.372,-0.275,-0.325,-0.372,-0.372,-0.326,-0.132
House,House,Democratic,Rick Nolan,2016,-2.022,-0.372,-0.372,-0.36,0.096,-0.372,-0.372,-0.275,-0.325
NA,House,Democratic,Rick Nolan,2018,-1.903,NA,NA,NA,NA,-0.372,-0.372,-0.36,0.096
NA,House,Republican,Chip Cravaack,2012,1.887,NA,NA,NA,NA,0.366,0.144,0.365,0.148
NA,House,Democratic,David Obey,2010,-2.605,NA,NA,NA,NA,-0.45,-0.063,-0.448,-0.016
House,House,Republican,Jean Schmidt,2010,1.846,0.467,-0.1,0.467,-0.149,0.467,-0.1,0.505,-0.206
NA,House,Republican,Jean Schmidt,2012,1.695,NA,NA,NA,NA,0.467,-0.1,0.467,-0.149
House,House,Republican,Brad Wenstrup,2014,1.358,0.527,0.289,0.594,0.146,0.527,0.289,0.557,0.238
House,House,Republican,Brad Wenstrup,2016,1.392,0.527,0.289,0.585,0.167,0.527,0.289,0.594,0.146
House,House,Republican,Brad Wenstrup,2018,1.504,0.527,0.289,0.517,0.244,0.527,0.289,0.585,0.167
House,House,Republican,Brad Wenstrup,2020,1.716,0.527,0.289,0.475,0.314,0.527,0.289,0.517,0.244
House,House,Republican,Brad Wenstrup,2022,1.64,0.527,0.289,0.543,0.397,0.527,0.289,0.475,0.314
NA,House,Republican,Brad Wenstrup,2024,1.679,NA,NA,NA,NA,0.527,0.289,0.543,0.397
House,House,Democratic,Jim Matheson,2010,-0.592,-0.115,0.546,-0.046,0.405,-0.115,0.546,-0.164,0.619
House,House,Democratic,Jim Matheson,2012,-0.636,-0.115,0.546,-0.085,0.395,-0.115,0.546,-0.046,0.405
NA,House,Democratic,Jim Matheson,2014,-0.639,NA,NA,NA,NA,-0.115,0.546,-0.085,0.395
House,House,Republican,Mia Love,2016,1.797,0.542,-0.056,0.481,-0.025,0.542,-0.056,0.582,-0.058
NA,House,Republican,Mia Love,2018,1.78,NA,NA,NA,NA,0.542,-0.056,0.481,-0.025
House,House,Democratic,Robert Scott,2010,-2.367,-0.45,-0.003,-0.398,-0.045,-0.45,-0.003,-0.426,-0.193
House,House,Democratic,Robert Scott,2012,-2.458,-0.45,-0.003,-0.413,-0.036,-0.45,-0.003,-0.398,-0.045
House,House,Democratic,Robert Scott,2014,-2.352,-0.45,-0.003,-0.456,-0.004,-0.45,-0.003,-0.413,-0.036
House,House,Democratic,Robert Scott,2016,-2.189,-0.45,-0.003,-0.383,-0.248,-0.45,-0.003,-0.456,-0.004
House,House,Democratic,Robert Scott,2018,-2.131,-0.45,-0.003,-0.38,0.125,-0.45,-0.003,-0.383,-0.248
House,House,Democratic,Robert Scott,2020,-2.244,-0.45,-0.003,-0.488,0.096,-0.45,-0.003,-0.38,0.125
House,House,Democratic,Robert Scott,2022,-2.197,-0.45,-0.003,-0.404,-0.307,-0.45,-0.003,-0.488,0.096
House,House,Democratic,Robert Scott,2024,-2.204,-0.45,-0.003,-0.497,-0.142,-0.45,-0.003,-0.404,-0.307
House,House,Republican,Judy Biggert,2010,1.081,0.323,-0.372,0.238,-0.055,0.323,-0.372,0.277,-0.117
NA,House,Republican,Judy Biggert,2012,1.014,NA,NA,NA,NA,0.323,-0.372,0.238,-0.055
NA,House,Democratic,"Joseph Sestak, Jr.",2010,-2.189,NA,NA,NA,NA,-0.271,-0.155,-0.273,-0.21
House,House,Democratic,Rob Andrews,2010,-2.025,-0.297,-0.119,-0.411,0.092,-0.297,-0.119,-0.423,0.116
House,House,Democratic,Rob Andrews,2012,-1.92,-0.297,-0.119,-0.413,0.093,-0.297,-0.119,-0.411,0.092
House,House,Democratic,Linda Sanchez,2010,-2.315,-0.508,-0.131,-0.485,-0.255,-0.508,-0.131,-0.522,-0.237
House,House,Democratic,Linda Sanchez,2012,-2.277,-0.508,-0.131,-0.47,-0.122,-0.508,-0.131,-0.485,-0.255
House,House,Democratic,Linda Sanchez,2014,-2.331,-0.508,-0.131,-0.507,-0.115,-0.508,-0.131,-0.47,-0.122
House,House,Democratic,Linda Sanchez,2016,-2.32,-0.508,-0.131,-0.539,0.104,-0.508,-0.131,-0.507,-0.115
House,House,Democratic,Linda Sanchez,2018,-2.377,-0.508,-0.131,-0.523,-0.037,-0.508,-0.131,-0.539,0.104
House,House,Democratic,Linda Sanchez,2020,-2.337,-0.508,-0.131,-0.453,-0.179,-0.508,-0.131,-0.523,-0.037
House,House,Democratic,Linda Sanchez,2022,-2.338,-0.508,-0.131,-0.525,-0.072,-0.508,-0.131,-0.453,-0.179
House,House,Democratic,Linda Sanchez,2024,-2.338,-0.508,-0.131,-0.571,-0.029,-0.508,-0.131,-0.525,-0.072
House,House,Republican,Steve Womack,2012,1.396,0.348,0.636,0.331,0.49,0.348,0.636,0.308,0.574
House,House,Republican,Steve Womack,2014,1.434,0.348,0.636,0.346,0.838,0.348,0.636,0.331,0.49
House,House,Republican,Steve Womack,2016,1.363,0.348,0.636,0.437,0.349,0.348,0.636,0.346,0.838
House,House,Republican,Steve Womack,2018,1.565,0.348,0.636,0.382,0.599,0.348,0.636,0.437,0.349
House,House,Republican,Steve Womack,2020,1.869,0.348,0.636,0.334,0.586,0.348,0.636,0.382,0.599
House,House,Republican,Steve Womack,2022,1.834,0.348,0.636,0.37,0.929,0.348,0.636,0.334,0.586
House,House,Republican,Steve Womack,2024,1.556,0.348,0.636,0.373,0.531,0.348,0.636,0.37,0.929
Senate,House,Republican,John Boozman,2010,1.48,0.427,0.338,0.408,0.233,0.427,0.338,0.451,0.057
Senate,Senate,Republican,John Boozman,2012,1.417,0.427,0.338,0.429,0.457,0.427,0.338,0.408,0.233
Senate,Senate,Republican,John Boozman,2014,1.269,0.427,0.338,0.469,0.309,0.427,0.338,0.429,0.457
Senate,Senate,Republican,John Boozman,2016,1.452,0.427,0.338,0.383,0.333,0.427,0.338,0.469,0.309
Senate,Senate,Republican,John Boozman,2018,1.462,0.427,0.338,0.354,0.245,0.427,0.338,0.383,0.333
Senate,Senate,Republican,John Boozman,2020,1.687,0.427,0.338,0.546,0.322,0.427,0.338,0.354,0.245
Senate,Senate,Republican,John Boozman,2022,1.85,0.427,0.338,0.433,0.427,0.427,0.338,0.546,0.322
Senate,Senate,Republican,John Boozman,2024,1.562,0.427,0.338,0.457,0.379,0.427,0.338,0.433,0.427
House,House,Democratic,Adam Smith,2010,-1.867,-0.291,-0.166,-0.287,-0.016,-0.291,-0.166,-0.26,-0.048
House,House,Democratic,Adam Smith,2012,-1.749,-0.291,-0.166,-0.379,0.006,-0.291,-0.166,-0.287,-0.016
House,House,Democratic,Adam Smith,2014,-2.015,-0.291,-0.166,-0.467,0.095,-0.291,-0.166,-0.379,0.006
House,House,Democratic,Adam Smith,2016,-1.979,-0.291,-0.166,-0.395,-0.508,-0.291,-0.166,-0.467,0.095
House,House,Democratic,Adam Smith,2018,-1.979,-0.291,-0.166,-0.359,-0.216,-0.291,-0.166,-0.395,-0.508
House,House,Democratic,Adam Smith,2020,-2.126,-0.291,-0.166,-0.612,0.18,-0.291,-0.166,-0.359,-0.216
House,House,Democratic,Adam Smith,2022,-2.202,-0.291,-0.166,-0.49,0.055,-0.291,-0.166,-0.612,0.18
House,House,Democratic,Adam Smith,2024,-2.245,-0.291,-0.166,-0.52,-0.04,-0.291,-0.166,-0.49,0.055
House,House,Democratic,Denny Heck,2014,-1.911,-0.312,-0.128,-0.325,-0.041,-0.312,-0.128,-0.323,-0.139
House,House,Democratic,Denny Heck,2016,-1.843,-0.312,-0.128,-0.287,-0.216,-0.312,-0.128,-0.325,-0.041
House,House,Democratic,Denny Heck,2018,-1.885,-0.312,-0.128,-0.312,-0.199,-0.312,-0.128,-0.287,-0.216
NA,House,Democratic,Denny Heck,2020,-1.836,NA,NA,NA,NA,-0.312,-0.128,-0.312,-0.199
House,House,Republican,Jeff Denham,2012,1.295,0.306,0.212,0.273,0.261,0.306,0.212,0.408,0.19
House,House,Republican,Jeff Denham,2014,1.19,0.306,0.212,0.26,0.182,0.306,0.212,0.273,0.261
House,House,Republican,Jeff Denham,2016,1.198,0.306,0.212,0.238,0.535,0.306,0.212,0.26,0.182
NA,House,Republican,Jeff Denham,2018,1.396,NA,NA,NA,NA,0.306,0.212,0.238,0.535
House,House,Republican,Devin Nunes,2010,1.407,0.45,0.223,0.463,0.323,0.45,0.223,0.565,-0.033
House,House,Republican,Devin Nunes,2012,1.388,0.45,0.223,0.357,0.393,0.45,0.223,0.463,0.323
