state,district,candidate,type,chamber,2006,2007,2008,2009,2010_2012,2010_2014,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,Next ID
alabama,7,Don Chamberlain,Rep,,,,,,25,,94,,109,,,,,,,,,,,16,,3,,
alabama,0,Doug Jones,Sen,,,,,,,,,,,,,,,,931,269,947,,,17,J000300,1,,
alabama,2,Erick Wright,Rep,,,,,,,7,,,,,109,,,,,,,,,18,,2,,
alabama,6,Gary Palmer,Rep,,,,,,,19,,,,,99,20,104,39,145,37,137,62,139,19,P000609,6,,
alabama,3,"Glenn Thompson, Jr.",Rep,,,,,,1,,,,,,,,,,,,,,,20,T000467,1,,
alabama,3,Greg A. Pierce,Rep,,66,,,,,,,,,,,,,,,,,,,21,,1,,
alabama,1,James Averhart,Rep,,,,,,,,,,,,,,,,,,132,,,22,,0,,
alabama,2,Jay Love,Rep,,,,38,,,,,,,,,,,,,,,,,23,,1,,
alabama,2,Jeff Miller,Rep,,,,,,1,,,,,,,,,,,,,,,957,M001144,1,,
alabama,0,Jeff Sessions,Sen,,476,134,283,,213,106,660,231,739,214,712,193,784,,,,,,,25,S001141,12,,
alabama,0,"Jefferson Beauregard ""Jeff"" Sessions III",Sen,,,,,198,,,,,,,,,,,,,,,,25,S001141,1,,
alabama,1,Jerry Carl,Rep,,,,,,,,,,,,,,,,,,132,48,142,26,C001054,0,,
alabama,3,Jesse Smith,Rep,,,,,,,11,,,,,92,,105,,,,,,,27,,3,,
alabama,1,Jo Bonner,Rep,,58,17,45,34,28,,,32,108,,,,,,,,,,,28,B001244,7,,
alabama,7,Jo Bonner,Rep,,,,,,1,,,,,,,,,,,,,,,28,B001244,1,,
alabama,3,John Andrew Harris,Rep,,,,,,26,,,,93,,,,,,,,,,,29,,2,,
alabama,3,Joshua  Segall,Rep,,,,31,,,,,,,,,,,,,,,,,30,,1,,
alabama,1,Josiah 'Jo' Bonner,Rep,,,,,,,,87,,,,,,,,,,,,,28,B001244,1,,
alabama,5,Kathy Warner-Stanton,Rep,,,,,,,,,,,,,,,,,,,,136,4136,,0,,
alabama,0,Katie Britt,Sen,,,,,,,,,,,,,,,,,,,,941,4137,B001319,0,,
alabama,0,Kay Ivey,Gov,,,,,,,,,,,,,,,262,928,269,947,397,939,31,,2,,
alabama,6,Kaynen Pellegrino,Rep,,,,,,,,,,,,,,,,,,137,,,32,,0,,
alabama,4,Lee Auman,Rep,,,,,,,,,,,,,,,,120,,,,,33,,1,,
alabama,3,Lin Veasey,Rep,,,,,,,,,,,,,,,,,,,,124,4138,,0,,
alabama,0,Lucy Baxley,Gov,,485,,,,,,,,,,,,,,,,,,,34,,1,,
alabama,0,"Luther J. Strange, III",Sen,,,,,,,,,,,,,,,262,,,,,,35,S001202,1,"Appointed, never ran",
alabama,3,Mallory Hagan,Rep,,,,,,,,,,,,,,,,118,,,,,36,,1,,
alabama,5,Mark Bray,Rep,,,,,,,20,,,,,109,,,,,,,,,37,,2,,
alabama,2,Martha Roby,Rep,House,,,,,27,7,84,32,128,33,111,26,123,30,129,36,134,,,38,R000591,11,,
alabama,4,Martha Roby,Rep,,,,,,,,,,1,,,,,,,,,,,38,R000591,1,,
alabama,7,Martha Roby,Rep,,,,,,2,,,,11,,,,,,,,,,,38,R000591,2,,
alabama,1,Michael McCaul,Rep,,,,,,1,,,,,,,,,,,,,,,3651,M001157,1,,
alabama,3,Michael Rogers,Rep,,,,,,,,88,,,,,,,,,,,,,40,R000575,1,,
alabama,7,Michael Rogers,Rep,,,,,,1,,,,,,,,,,,,,,,40,R000575,1,,
alabama,3,Mike D. Rogers,Rep,,,,,,,,,35,,,,,,,,,,,,40,R000575,1,,
alabama,2,Mike Rogers,Rep,,,,,,4,,,,15,,,,,,,,,,,40,R000575,2,,
alabama,3,Mike Rogers,Rep,,65,12,41,35,25,11,,,92,27,92,28,106,32,117,29,116,47,124,40,R000575,13,,
alabama,4,Mike Rogers,Rep,,,,,,1,,,,1,,,,,,,,,,,40,R000575,2,,
alabama,6,Mike Rogers,Rep,,,,,,,,,,1,,,,,,,,,,,40,R000575,1,,
alabama,7,Mike Rogers,Rep,,,,,,1,,,,1,,,,,,,,,,,40,R000575,2,,
alabama,4,Mo Brooks,Rep,,,,,,5,,,,11,,,,,,,,,,,41,B001274,2,,
alabama,5,Mo Brooks,Rep,House,,,,,43,20,,39,103,37,107,27,121,44,158,47,160,72,136,41,B001274,10,,
alabama,5,Morris Brooks,Rep,,,,,,,,127,,,,,,,,,,,,,41,B001274,1,,
alabama,2,Nathan Mathis,Rep,,,,,,,,,,,,,,124,,,,,,,42,,1,,
alabama,4,Nicholas B. Sparks,Rep,,,,16,,,,,,,,,,,,,,,,,43,,1,,
alabama,5,Parker Griffith,Rep,House,,,44,30,,,,,,,,,,,,,,,,44,G000557,2,,
alabama,6,Penny Bailey,Rep,,,,,,33,,,,105,,,,,,,,,,,45,,2,,
alabama,5,Peter Joffrion,Rep,,,,,,,,,,,,,,,,158,,,,,46,,1,,
alabama,2,Phyllis Harvey-Hall,Rep,,,,,,,,,,,,,,,,,,134,,134,47,,0,,
alabama,4,R. Parker Griffith,Rep,,,,,,5,,,,,,,,,,,,,,,44,G000557,1,,
alabama,5,R. Parker Griffith,Rep,,,,,,39,,128,,,,,,,,,,,,,44,G000557,2,,
alabama,0,Richard C. Shelby,Sen,Senate,480,,273,,213,106,364,,737,214,714,,785,,,,,,,49,S000320,9,,
alabama,0,Richard Craig Shelby,Sen,,,,,200,,,,,,,,,,,,,,,,49,S000320,1,,
alabama,0,Richard Shelby,Sen,,,132,,,,,305,233,,,,193,,262,931,270,947,397,940,49,S000320,6,,
alabama,6,Rick Larsen,Rep,,,,,,1,,,,,,,,,,,,,,,50,L000560,1,,
alabama,4,Rick Neighbors,Rep,,,,,,,,,,,,,,,,,,130,,125,51,,0,,
alabama,4,Robert Aderhold,Rep,,,,,,31,,,,94,,,,,,,,,,,52,A000055,2,,
alabama,4,Robert Aderholt,Rep,House,,17,35,,,19,71,35,,22,84,28,93,39,120,43,130,61,125,52,A000055,11,,
alabama,5,Robert Aderholt,Rep,,,,,,4,,,,3,,,,,,,,,,1,52,A000055,2,,
alabama,6,Robert Aderholt,Rep,,,,,,1,,,,5,,,,,,,,,,,52,A000055,2,,
alabama,4,Robert Anderholt,Rep,,,,,,,,,,,,,,92,,,,,,,52,A000055,1,,
alabama,4,Robert B. Aderholt,Rep,,68,,,21,,,,,,,,,,,,,,,,52,A000055,2,,
alabama,0,Robert Bentley,Gov,,,,,,217,,,235,741,,,,,,,,,,,53,,3,,
alabama,5,Robert E. (Bud) Cramer,Rep,House,82,,44,,,,,,,,,,,,,,,,,9,C000868,2,,
alabama,0,Robert J. Bentley,Gov,,,,,,,,,,,,,193,783,,,,,,,53,,2,,
alabama,0,Robert J. Bently,Gov,,,,,,,109,,,,217,720,,,,,,,,,53,,3,,
alabama,1,"Robert Kennedy, Jr.",Rep,,,,,,,,,,,,,,,,129,,,,,54,,1,,
alabama,0,"Robert Renfroe ""Bob"" Riley",Gov,,,,,197,,,,,,,,,,,,,,,,6,R000258,1,,
alabama,0,Ron Crumpton,Sen,,,,,,,,,,,,,,779,,,,,,,55,,1,,
alabama,1,Spencer Bachus,Rep,,,,,,1,,,,,,,,,,,,,,,56,B000013,1,,
alabama,3,Spencer Bachus,Rep,,,,,,5,,,,7,,,,,,,,,,,56,B000013,2,,
alabama,4,Spencer Bachus,Rep,,,,,,,,,,4,,,,,,,,,,,56,B000013,1,,
alabama,6,Spencer Bachus,Rep,,89,23,41,29,35,20,119,24,108,26,100,,,,,,,,,56,B000013,11,,
alabama,7,Spencer Bachus,Rep,,,,,,2,,,,4,,,,,,,,,,,56,B000013,2,,
alabama,3,Stephen Segrest,Rep,,,,,,,,86,,,,,,,,,,,,,57,,1,,
alabama,5,Steve Raby,Rep,,,,,,,,123,,,,,,,,,,,,,58,,1,,
alabama,2,Tabitha Isner,Rep,,,,,,,,,,,,,,,,129,,,,,59,,1,,
alabama,6,Terri A. Sewell,Rep,,,,,,2,,,,4,,,,,,,,,,,60,S001185,2,,
alabama,7,Terri A. Sewell,Rep,,,,,,,,,,,44,,,,,,,,,,60,S001185,1,,
alabama,7,Terri Sewell,Rep,House,,,,,25,14,,33,108,,103,38,132,35,131,39,138,58,140,60,S001185,9,,
alabama,2,Terry Everett,Rep,,74,17,28,,,,,,,,,,,,,,,,,62,,3,,
alabama,7,Terrycina 'Terri' Sewell,Rep,,,,,,,,95,,,,,,,,,,,,,60,S001185,1,,
alabama,2,Therese Ford,Rep,,,,,,28,,,,125,,,,,,,,,,,64,,2,,
alabama,5,Tom Rooney,Rep,,,,,,1,,,,,,,,,,,,,,,64,,1,,
alabama,0,Tommy Tuberville,Sen,,,,,,,,,,,,,,,,,,947,397,941,66,T000278,0,,
alabama,1,Travis Childers,Rep,,,,,,1,,,,,,,,,,,,,,,67,C001074,1,,
alabama,0,Vivian Davis Figures,Sen,,,,152,,,,,,,,,,,,,,,,,68,,1,,
alabama,1,Vivian Sheffield Beckerle,Rep,,56,,,,,,,,,,,,,,,,,,,69,,1,,
alabama,5,Wayne Parker,Rep,,,,39,,,,,,,,,,,,,,,,,70,,1,,
alabama,0,Will Boyd,Sen,,,,,,,,,,,,,,,,,,,,940,71,,0,,
alabama,5,"Will Boyd, Jr.",Rep,,,,,,,,,,,,,,117,,,,,,,71,,1,,
alabama,0,William Barnes,Sen,,,,,,,,294,,,,,,,,,,,,,72,,1,,
alabama,0,William G. Barnes,Sen,,,,,,,,350,,,,,,,,,,,,,72,,1,,
alaska,0,Al Gross,Sen,,,,,,,,,,,,,,,,,,115,,,73,,0,,
alaska,1,Alyse Galvin,Rep,,,,,,,,,,,,,,,,97,,115,,,74,,1,,
alaska,0,Bill Walker,Gov,,,,,,,,,,,,,23,114,33,97,,,,,75,,4,,
alaska,0,Dan Sullivan,Sen,,,,,,,18,,,,,95,23,113,,,28,115,55,135,76,S001198,4,,
alaska,0,Daniel S. Sullivan,Sen,,,,,,,,,,,,,,,33,97,,,,,76,S001198,2,,
alaska,0,Diane Benson,Rep,,129,,,,,,,,,,,,,,,,,,,77,,1,,
alaska,0,Don E. Young,Rep,,,,68,,,,,,,,,,,,,,,,,78,Y000033,1,,
alaska,0,Don Young,Rep,,129,23,,36,,,135,52,,,,,,,,,,,,78,Y000033,5,,
alaska,1,Don Young,Rep,,,,,,40,18,,,124,31,96,23,115,33,97,28,115,55,,78,Y000033,9,,
alaska,0,Ethan A. Berkowitz,Rep,,,,51,,,,,,,,,,,,,,,,,79,,1,,
alaska,1,Forest Dunbar,Rep,,,,,,,18,,,,,95,,,,,,,,,80,,2,,
alaska,0,Frank Murkowski,Gov,,130,,,,,,,,,,,,,,,,,,,81,M001085,1,,
alaska,0,"Harry Crawford, Jr.",Rep,,,,,,,,132,,,,,,,,,,,,,82,,1,,
alaska,0,Joe Miller,Sen,,,,,,,,58,,,,,,,,,,,,,83,,1,,
alaska,0,Joseph Miller,Sen,,,,,,,,74,,,,,,,,,,,,,83,,1,,
alaska,0,Lisa Ann Murkowski,Sen,,,,,36,,,,,,,,,,,,,,,,84,M001153,1,,
alaska,0,Lisa Murkowski,Sen,Senate,129,23,68,,40,18,,52,125,29,96,23,114,33,97,28,115,55,135,84,M001153,13,,
alaska,0,Mark Begich,Sen,Senate,,,64,36,40,18,133,52,125,30,96,,,,,,,,,85,B001265,9,,
alaska,1,Mary Peltola,Rep,,,,,,,,,,,,,,,,,,,,135,4139,P000619,0,,
alaska,0,Mike Dunleavy,Gov,,,,,,,,,,,,,,,,,28,115,55,135,86,,0,,
alaska,0,Patricia Chesbro,Sen,,,,,,,,,,,,,,,,,,,,135,4140,,0,,
alaska,0,Ray Metcalfe,Sen,,,,,,,,,,,,,,111,,,,,,,87,,1,,
alaska,0,Sarah Palin,Gov,,130,,,,,,,,,,,,,,,,,,,88,,1,,
alaska,1,Sarah Palin,Rep,,,,,,,,,,,,,,,,,,,,135,88,,0,,
alaska,0,Scott McAdams,Sen,,,,,,,,72,,,,,,,,,,,,,89,,1,,
alaska,0,Scott T. McAdams,Sen,,,,,,,,58,,,,,,,,,,,,,89,,1,,
alaska,0,Sean Parnell,Gov,,,,,36,42,18,134,52,124,29,96,,,,,,,,,90,,8,,
alaska,1,Sharon Cissna,Rep,,,,,,39,,,,123,,,,,,,,,,,91,,2,,
alaska,1,Steve Lindbeck,Rep,,,,,,,,,,,,,,115,,,,,,,92,,1,,
alaska,0,Ted Stevens,Sen,,127,23,71,,,,,,,,,,,,,,,,,93,S000888,3,,
alaska,0,Tony Knowles,Gov,,130,,,,,,,,,,,,,,,,,,,94,,1,,
arizona,9,Alcee Hastings,Rep,,,,,,1,,,,,,,,,,,,,,,95,H000324,1,,
arizona,5,Andy Biggs,Rep,,,,,,,,,,,,,,142,51,181,50,156,68,147,96,B001302,3,,
arizona,1,Andy Tobin,Rep,,,,,,,18,,,,,110,,,,,,,,,97,,2,,
arizona,6,Anita Malik,Rep,,,,,,,,,,,,,,,,192,,,,,98,,1,,
arizona,0,Ann Kirkpatrick,Sen,,,,,,,,,,,,,,1487,,,,,,,99,K000368,1,,
arizona,1,Ann Kirkpatrick,Rep,House,,,46,34,70,18,150,,106,21,111,21,,,,,,,,99,K000368,9,,
arizona,2,Ann Kirkpatrick,Rep,House,,,,,1,,,,,,,,,,216,70,252,129,,99,K000368,2,,
arizona,4,Ann Kirkpatrick,Rep,,,,,,20,,,,,,,,,,,,,,,99,K000368,1,,
arizona,6,Ann Kirkpatrick,Rep,,,,,,1,,,,,,,,,,,,,,183,99,K000368,1,,
arizona,7,Ann Kirkpatrick,Rep,,,,,,1,,,,,,,,,,,,,,,99,K000368,1,,
arizona,3,Ben Quayle,Rep,House,,,,,,,210,63,,,,,,,,,,,,100,Q000024,2,,
arizona,6,Ben Quayle,Rep,,,,,,48,,,,138,,,,,,,,,,,100,Q000024,2,,
arizona,7,Ben Quayle,Rep,,,,,,1,,,,3,,,,,,,,,,,100,Q000024,2,,
arizona,8,Ben Quayle,Rep,,,,,,11,,,,17,,,,,,,,,,,100,Q000024,2,,
arizona,9,Ben Quayle,Rep,,,,,,20,,,,41,,,,,,,,,,,100,Q000024,2,,
arizona,0,Blake Masters,Sen,,,,,,,,,,,,,,,,,,,,1624,4141,,0,,
arizona,3,Bob Lord,Rep,,,,58,,,,,,,,,,,,,,,,,101,,1,,
arizona,4,Brad Sherman,Rep,,,,,,1,,,,,,,,,,,,,,,102,S000344,1,,
arizona,6,Brad Sherman,Rep,,,,,,1,,,,,,,,,,,,,,,102,S000344,1,,
arizona,2,Brandon Martin,Rep,,,,,,,,,,,,,,,,,,252,,,103,,0,,
arizona,8,Brian Baird,Rep,,,,,,1,,,,,,,,,,,,,,,104,B001229,1,,
arizona,8,Bruce Braley,Rep,,,,,,1,,,,,,,,,,,,,,,105,B001259,1,,
arizona,8,Charles Djou,Rep,,,,,,1,,,,,,,,,,,,,,,106,D000611,1,,
arizona,3,Daniel Wood,Rep,,,,,,,,,,,,,,,,,,115,,,107,,0,,
arizona,9,Dave Giles,Rep,,,,,,,,,,,,,,197,,,,154,,,108,,1,,
arizona,4,David Brill,Rep,,,,,,,,,,,,,,,,201,,,,,109,,1,,
arizona,1,David Schweikert,Rep,House,,,,,,,,,,,,,,,,,,,193,110,S001183,0,,
arizona,5,David Schweikert,Rep,House,,,55,,,,191,63,,,,,,,,,,,,110,S001183,3,,
arizona,6,David Schweikert,Rep,House,,,,,92,44,,,208,48,172,52,196,50,192,63,163,66,7,110,S001183,9,,
arizona,7,David Schweikert,Rep,,,,,,2,,,,,,,,,,,,,,,110,S001183,1,,
arizona,9,David Schweikert,Rep,,,,,,36,,,,103,,,,,,,,,,,110,S001183,2,,
arizona,2,Dean Heller,Rep,,,,,,1,,,,,,,,,,,,,,,111,H001041,1,,
arizona,4,Dean Heller,Rep,,,,,,1,,,,,,,,,,,,,,,111,H001041,1,,
arizona,8,Debbie Lesko,Rep,House,,,,,,,,,,,,,,,217,73,193,82,174,112,L000589,1,,
arizona,4,Delina DiSanto,Rep,,,,,,,,,,,,,,,,,,187,,,113,,0,,
arizona,4,Don Karg,Rep,,66,,10,,,,,,,,,,,,,,,,,114,,2,,
arizona,0,Doug Ducey,Gov,,,,,,,,,,,,,331,1495,436,1587,489,1463,703,1624,115,,4,,
arizona,4,Douglas Lamborn,Rep,,,,,,1,,,,,,,,,,,,,,,116,L000564,1,,
arizona,2,"Duncan Hunter, Jr.",Rep,,,,,,1,,,,,,,,,,,,,,,359,H001048,1,,
arizona,4,Ed Pastor,Rep,House,67,20,27,36,,,118,45,,,,,,,,,,,,117,P000099,6,,
arizona,5,Ed Pastor,Rep,,,,,,1,,,,,,,,,,,,,,,117,P000099,1,,
arizona,6,Ed Pastor,Rep,,,,,,1,,,,2,,,,,,,,,,,117,P000099,2,,
arizona,7,Ed Pastor,Rep,House,,,,,49,11,,,114,30,96,,,,,,,,,117,P000099,5,,
arizona,8,Ed Pastor,Rep,,,,,,2,,,,1,,,,,,,,,,,117,P000099,2,,
arizona,9,Ed Pastor,Rep,,,,,,8,,,,6,,,,,,,,,,,117,P000099,2,,
arizona,5,Edward Royce,Rep,,,,,,1,,,,,,,,,,,,,,,118,R000487,1,,
arizona,2,Eli Crane,Rep,House,,,,,,,,,,,,,,,,,,,192,4142,C001132,0,,
arizona,1,Ellen Simon,Rep,,87,,,,,,,,,,,,,,,,,,,119,,1,,
arizona,2,Elton Gallegly,Rep,,,,,,1,,,,,,,,,,,,,,,368,G000021,1,,
arizona,7,Eve Nunez,Rep,,,,,,,,,,,,,,131,,,,,,,121,,1,,
arizona,9,Frank Wolf,Rep,,,,,,1,,,,,,,,,,,,,,,3855,W000672,1,,
arizona,3,Gabriela Mercer,Rep,,,,,,,18,,,,,115,,,,,,,,,123,,2,,
arizona,3,Gabriela Saucedo Mercer,Rep,,,,,,32,,,,102,,,,,,,,,,,123,,2,,
arizona,1,Gabrielle Giffords,Rep,,,,,,10,,,,,,,,,,,,,,,124,G000554,1,,
arizona,2,Gabrielle Giffords,Rep,,,,,,68,,,,,,,,,,,,,,,124,G000554,1,,
arizona,3,Gabrielle Giffords,Rep,,,,,,3,,,,,,,,,,,,,,,124,G000554,1,,
arizona,7,Gabrielle Giffords,Rep,,,,,,2,,,,,,,,,,,,,,,124,G000554,1,,
arizona,8,Gabrielle Giffords,Rep,House,147,20,118,48,,,239,79,,,,,,,,,,,,124,G000554,6,,
arizona,8,Gene Scharer,Rep,,,,,,75,,,,198,,,,,,,,,,,125,,2,,
arizona,6,Glenn Fuller,Rep,,114,,,,,,,,,,,,,,,,,,,126,,1,Was disqualified before running in the general,
arizona,4,Greg Stanton,Rep,House,,,,,,,,,,,,,,,,,,,182,127,S001211,0,,
arizona,9,Greg Stanton,Rep,House,,,,,,,,,,,,,,,181,56,154,81,,127,S001211,1,,
arizona,7,Gus Bilirakis,Rep,,,,,,1,,,,,,,,,,,,,,,128,B001257,1,,
arizona,5,Harold Mitchell,Rep,,,,,,,,190,,,,,,,,,,,,,129,M001167,1,,
arizona,5,Harry Mitchell,Rep,,160,21,72,41,,,,,,,,,,,,,,,,129,M001167,4,,
arizona,6,Harry Mitchell,Rep,,,,,,24,,,,,,,,,,,,,,,129,M001167,1,,
arizona,9,Harry Mitchell,Rep,,,,,,32,,,,,,,,,,,,,,,129,M001167,1,,
arizona,3,Herb Paine,Rep,,120,,,,,,,,,,,,,,,,,,,130,,1,,
arizona,6,Hiral Tipirneni,Rep,,,,,,,,,,,,,,,,,,163,,,131,,0,,
arizona,8,Hiral Tipirneni,Rep,,,,,,,,,,,,,,,,217,,,,,131,,1,,
arizona,5,J.D. Hayworth,Rep,,161,,,,,,,,,,,,,,,,,,,132,,1,,
arizona,5,James Woods,Rep,,,,,,,30,,,,,146,,,,,,,,,133,,2,,
arizona,0,Jan Brewer,Gov,,,,,346,536,251,1510,495,1430,373,1425,,,,,,,,,134,,8,,
arizona,4,Janet Contreras,Rep,,,,,,,,119,,,,,,,,,,,,,135,,1,,
arizona,0,Janet Napolitano,Gov,,943,,,,,,,,,,,,,,,,,,,136,,1,,
arizona,5,Javier Ramos,Rep,,,,,,,,,,,,,,,,,,,,147,4143,,0,,
arizona,0,Jeff Flake,Sen,Senate,,,,,532,246,,,1423,371,1408,331,1488,436,1587,,,,,137,F000444,9,,
arizona,1,Jeff Flake,Rep,,,,,,1,,,,,,,,,,,,,,,137,F000444,1,,
arizona,2,Jeff Flake,Rep,,,,,,1,,,,,,,,,,,,,,,137,F000444,1,,
arizona,4,Jeff Flake,Rep,,,,,,8,,,,37,,,,,,,,,,,137,F000444,2,,
arizona,5,Jeff Flake,Rep,,,,,,54,,,,154,,,,,,,,,,,137,F000444,2,,
arizona,6,Jeff Flake,Rep,House,115,29,84,44,1,,210,61,,,,,,,,,,,,137,F000444,7,,
arizona,9,Jeff Flake,Rep,,,,,,11,,,,13,,,,,,,,,,,137,F000444,2,,
arizona,2,Jeff Miller,Rep,,,,,,1,,,,,,,,,,,,,,,957,M001144,1,,
arizona,3,Jeff Zink,Rep,,,,,,,,,,,,,,,,,,,,133,4144,,0,,
arizona,8,Jesse Kelly,Rep,,,,,,,,242,,,,,,,,,,,,,139,,1,,
arizona,1,Jevin Hodge,Rep,,,,,,,,,,,,,,,,,,,,193,4145,,0,,
arizona,0,Jim Pederson,Sen,,939,,,,,,,,,,,,,,,,,,,140,,1,,
arizona,5,Joan Greene,Rep,,,,,,,,,,,,,,,,180,,156,,,141,,1,,
arizona,7,Joe Cobb,Rep,,,,,,,11,,,,,91,,,,,,,,,142,,2,,
arizona,8,Joe DeVivo,Rep,,,,,,,,,,,,,,190,,,,,,,143,,1,,
arizona,3,John B. Shadegg,Rep,House,119,,77,,,,,,,,,,,,,,,,,144,S000275,2,,
arizona,0,John McCain,Sen,,941,195,,,531,245,714,494,1424,367,1412,331,1497,436,,,,,,145,M000303,12,,
arizona,0,"John McCain, III",Sen,,,,,,,,791,,,,,,,,,,,,,145,M000303,1,,
arizona,3,John Shadegg,Rep,,,26,,40,,,211,,,,,,,,,,,,,144,S000275,3,,
arizona,6,John Shadegg,Rep,,,,,,45,,,,,,,,,,,,,,,144,S000275,1,,
arizona,8,John Shadegg,Rep,,,,,,9,,,,,,,,,,,,,,,144,S000275,1,,
arizona,9,John Shadegg,Rep,,,,,,19,,,,,,,,,,,,,,,144,S000275,1,,
arizona,0,"John Sidney McCain, III",Sen,,,,,353,,,,,,,,,,,,,,,,145,M000303,1,,
arizona,2,John Thrasher,Rep,,143,,39,,,,259,,,,,,,,,,,,,146,,3,,
arizona,6,John W. Williamson,Rep,,,,,,,,,,,,,,193,,,,,,,147,,1,,
arizona,6,John Williamson,Rep,,,,,,,43,,,,,170,,,,,,,,,147,,2,,
arizona,4,Johnnie Elbert Robinson,Rep,,,,,,35,,,,163,,,,,,,,,,,148,,2,,
arizona,3,Jon Hulburd,Rep,,,,,,,,205,,,,,,,,,,,,,149,,1,,
arizona,0,Jon Kyl,Sen,,933,183,599,,530,,1499,492,1415,,,,,,1586,,,,,150,K000352,8,,
arizona,0,Jon Llewelyn Kyl,Sen,,,,,350,,,,,,,,,,,,,,,,150,K000352,1,,
arizona,1,Jonathan Paton,Rep,,,,,,42,,,,107,,,,,,,,,,,151,,2,,
arizona,7,Joseph Sweeney,Rep,,,,12,,,,,,,,,,,,,,,,,152,,1,,
arizona,7,Josh Barnett,Rep,,,,,,,,,,,,,,,,,,121,,,153,,0,,
arizona,6,Juan Ciscomani,Rep,House,,,,,,,,,,,,,,,,,,,235,4146,C001133,0,,
arizona,4,Kelly Cooper,Rep,,,,,,,,,,,,,,,,,,,,182,4147,,0,,
arizona,6,Kirsten Engel,Rep,,,,,,,,,,,,,,,,,,,,234,4148,,0,,
arizona,0,Kyrsten Sinema,Sen,Senate,,,,,,,,,,,,,,,1586,490,1462,703,1625,154,S001191,1,,
arizona,9,Kyrsten Sinema,Rep,House,,,,,71,29,,,162,45,157,42,198,52,,,,,,154,S001191,8,,
arizona,2,Lea Marquez Peterson,Rep,,,,,,,,,,,,,,,,216,,,,,155,,1,,
arizona,0,Len Munsil,Gov,,934,,,,,,,,,,,,,,,,,,,156,,1,,
arizona,4,Leonard Boswell,Rep,,,,,,1,,,,,,,,,,,,,,,157,B000652,1,,
arizona,7,Luis Pozzolo,Rep,,,,,,,,,,,,,,,,,,,,180,4149,,0,,
arizona,0,Mark Kelly,Sen,,,,,,,,,,,,,,,,,,1463,703,1623,158,K000377,0,,
arizona,0,Martha McSally,Sen,Senate,,,,,,,,,,,,,,,1586,490,1463,,,159,M001197,1,,
arizona,2,Martha McSally,Rep,House,,,,,84,34,,,205,,229,48,208,56,,,,,,159,M001197,7,,
arizona,2,MarthaMartha McSally,Rep,,,,,,,,,,,,,,,2,,,,,,159,M001197,1,,
arizona,3,Martin Heinrich,Rep,,,,,,1,,,,,,,,,,,,,,,529,H001046,1,,
arizona,2,Matt Heinz,Rep,,,,,,,,,,,,,,206,,,,,,,160,,1,,
arizona,6,Matt Jette,Rep,,,,,,72,,,,199,,,,,,,,,,,161,,2,,
arizona,5,Matt Salmon,Rep,,,,,,54,30,,,154,30,148,38,141,,,,,,,162,S000018,7,,
arizona,2,Michael Castle,Rep,,,,,,1,,,,,,,,,,,,,,,163,C000243,1,,
