,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,candidate_bonica,politician_id,state_bonica,year_bonica,id_lt_bonica,score,state,candidate,year
17,virginia,4.0,leon benjamin,Rep,,3884.0,,0.0,,2022.0,163.0,17.0,leon benjamin sr.,10772.0,virginia,2022.0,23.0,0.95617723,,,
18,virginia,0.0,mark warner,Sen,Senate,3888.0,W000805,10.0,,2022.0,1644.0,18.0,jennifer t. wexton,8583.0,virginia,2022.0,17.0,0.7881945,,,
19,virginia,9.0,morgan griffith,Rep,,3859.0,G000568,10.0,,2022.0,190.0,19.0,h. morgan griffith,2832.0,virginia,2022.0,20.0,0.9289015,,,
20,virginia,1.0,rob wittman,Rep,,1832.0,W000804,10.0,,2022.0,167.0,20.0,robert j. wittman,3043.0,virginia,2022.0,7.0,0.90362054,,,
21,virginia,9.0,taysha devaughan,Rep,,4544.0,,0.0,,2022.0,190.0,21.0,taysha lee devaughan,18330.0,virginia,2022.0,21.0,0.97281694,,,
22,virginia,3.0,terry namkung,Rep,,4545.0,,0.0,,2022.0,159.0,22.0,terry t. namkung,18326.0,virginia,2022.0,4.0,0.9815567,,,
23,virginia,0.0,tim kaine,Sen,,3916.0,K000384,9.0,,2022.0,1644.0,23.0,jen a. kiggans,18325.0,virginia,2022.0,10.0,0.8229501,,,
24,virginia,7.0,yesli vega,Rep,,4546.0,,0.0,,2022.0,111.0,24.0,yesli i. vega,18643.0,virginia,2022.0,1.0,0.98051983,,,
25,colorado,7.0,casper stockham,Rep,,692.0,,0.0,,2020.0,151.0,0.0,casper stockham,8766.0,colorado,2020.0,8.0,1.0000001,,,
26,colorado,2.0,charlie winn,Rep,,693.0,,0.0,,2020.0,151.0,1.0,charlie winn,10393.0,colorado,2020.0,28.0,0.99999994,,,
27,colorado,0.0,cory gardner,Sen,Senate,694.0,G000562,6.0,,2020.0,1059.0,2.0,cory gardner,2816.0,colorado,2020.0,34.0,1.0,,,
28,colorado,1.0,diana degette,Rep,House,699.0,D000197,15.0,,2020.0,178.0,3.0,diana degette,2782.0,colorado,2020.0,24.0,0.99999976,,,
29,colorado,3.0,diane mitsch bush,Rep,,700.0,,1.0,,2020.0,134.0,4.0,diane mitsch bush,8769.0,colorado,2020.0,3.0,1.0000001,,,
30,colorado,5.0,doug lamborn,Rep,House,116.0,L000564,14.0,,2020.0,165.0,5.0,doug lamborn,2878.0,colorado,2020.0,21.0,1.0000001,,,
31,colorado,7.0,ed perlmutter,Rep,House,702.0,P000593,14.0,,2020.0,151.0,6.0,ed perlmutter,2947.0,colorado,2020.0,12.0,1.0,,,
32,colorado,4.0,ike mccorkle,Rep,,709.0,,0.0,,2020.0,124.0,7.0,ike mccorkle,10395.0,colorado,2020.0,14.0,1.0,,,
33,colorado,0.0,jared polis,Gov,,711.0,P000598,0.0,,2020.0,1060.0,8.0,john wright hickenlooper,6617.0,colorado,2020.0,36.0,0.83289695,,,
34,colorado,6.0,jason crow,Rep,House,712.0,C001121,1.0,,2020.0,156.0,9.0,jason crow,8607.0,colorado,2020.0,6.0,1.0000001,,,
35,colorado,5.0,jillian freeland,Rep,,715.0,,0.0,,2020.0,165.0,10.0,jillian freeland,10396.0,colorado,2020.0,20.0,1.0,,,
36,colorado,2.0,joe neguse,Rep,,718.0,N000191,1.0,,2020.0,151.0,11.0,joe neguse,8767.0,colorado,2020.0,29.0,0.99999994,,,
37,colorado,0.0,john hickenlooper,Sen,,720.0,H000273,0.0,,2020.0,1060.0,12.0,john wright hickenlooper,6617.0,colorado,2020.0,36.0,0.9670356,,,
38,colorado,4.0,ken buck,Rep,,725.0,B001297,6.0,,2020.0,124.0,13.0,ken buck,1280.0,colorado,2020.0,13.0,1.0000001,,,
39,colorado,3.0,lauren boebert,Rep,House,730.0,B000825,0.0,,2020.0,134.0,14.0,lauren boebert,10394.0,colorado,2020.0,2.0,1.0000001,,,
40,colorado,0.0,michael bennet,Sen,,735.0,B001267,6.0,,2020.0,1060.0,15.0,michael sanchez,11105.0,colorado,2020.0,31.0,0.83346164,,,
41,colorado,3.0,scott tipton,Rep,House,746.0,T000470,11.0,,2020.0,134.0,16.0,thomas atkinson,10330.0,colorado,2020.0,27.0,0.8170688,,,
42,colorado,1.0,shane bolling,Rep,,748.0,,0.0,,2020.0,180.0,17.0,shane bolling,10392.0,colorado,2020.0,23.0,1.0000001,,,
43,colorado,6.0,steve house,Rep,,751.0,,0.0,,2020.0,156.0,18.0,steven e. house,10397.0,colorado,2020.0,4.0,0.9362926,,,
44,montana,1.0,greg gianforte,Rep,House,2258.0,G000584,2.0,,2020.0,230.0,0.0,greg gianforte,8219.0,montana,2020.0,6.0,1.0,,,
45,montana,0.0,jon tester,Sen,Senate,2263.0,T000464,15.0,,2020.0,230.0,1.0,mike cooney,10293.0,montana,2020.0,4.0,0.80533594,,,
46,montana,1.0,kathleen williams,Rep,,2264.0,,1.0,,2020.0,230.0,2.0,kathleen williams,8566.0,montana,2020.0,1.0,0.99999994,,,
47,montana,1.0,matt rosendale,Rep,,2266.0,R000103,0.0,,2020.0,230.0,3.0,matt rosendale,3291.0,montana,2020.0,0.0,1.0000002,,,
48,montana,0.0,steve bullock,Sen,,2270.0,,0.0,,2020.0,230.0,4.0,steve bullock,6807.0,montana,2020.0,3.0,1.0,,,
49,montana,0.0,steve daines,Sen,Senate,2271.0,D000618,6.0,,2020.0,230.0,5.0,steve daines,3105.0,montana,2020.0,2.0,1.0000002,,,
50,alabama,7.0,artur davis,Rep,House,2.0,D000602,6.0,,2008.0,29.0,0.0,artur davis,14807.0,alabama,2008.0,4.0,1.0000001,,,
51,alabama,2.0,bobby bright,Rep,,7.0,B001264,2.0,,2008.0,41.0,1.0,bobby n. bright,8375.0,alabama,2008.0,3.0,0.9538614,,,
52,alabama,2.0,jay love,Rep,,23.0,,1.0,,2008.0,38.0,2.0,jay love,9970.0,alabama,2008.0,2.0,0.99999994,,,
53,alabama,0.0,jeff sessions,Sen,,25.0,S001141,12.0,,2008.0,283.0,3.0,jeff sessions,1536.0,alabama,2008.0,12.0,1.0000001,,,
54,alabama,1.0,jo bonner,Rep,,28.0,B001244,7.0,,2008.0,45.0,4.0,josiah robins bonner,5553.0,alabama,2008.0,1.0,0.888815,,,
55,alabama,3.0,joshua  segall,Rep,,30.0,,1.0,,2008.0,31.0,5.0,joshua segall,16109.0,alabama,2008.0,10.0,0.9855999,,,
56,alabama,3.0,mike rogers,Rep,,40.0,R000575,13.0,,2008.0,41.0,6.0,mike rogers,2972.0,alabama,2008.0,9.0,0.9999999,,,
57,alabama,4.0,nicholas b. sparks,Rep,,43.0,,1.0,,2008.0,16.0,7.0,nicholas b. sparks,16111.0,alabama,2008.0,7.0,0.9999999,,,
58,alabama,5.0,parker griffith,Rep,House,44.0,G000557,2.0,,2008.0,44.0,8.0,rolf parker griffith,3925.0,alabama,2008.0,5.0,0.92871976,,,
59,alabama,0.0,richard c. shelby,Sen,Senate,49.0,S000320,9.0,,2008.0,273.0,9.0,robert b. aderholt,2715.0,alabama,2008.0,8.0,0.8333404,,,
60,alabama,4.0,robert aderholt,Rep,House,52.0,A000055,11.0,,2008.0,35.0,10.0,robert b. aderholt,2715.0,alabama,2008.0,8.0,0.9782474,,,
61,alabama,5.0,robert e. (bud) cramer,Rep,House,9.0,C000868,2.0,,2008.0,44.0,11.0,robert b. aderholt,2715.0,alabama,2008.0,8.0,0.8378922,,,
62,alabama,6.0,spencer bachus,Rep,,56.0,B000013,11.0,,2008.0,41.0,12.0,spencer bachus,2717.0,alabama,2008.0,0.0,1.0000001,,,
63,alabama,2.0,terry everett,Rep,,62.0,,3.0,,2008.0,28.0,13.0,artur davis,14807.0,alabama,2008.0,4.0,0.7966338,,,
64,alabama,0.0,vivian davis figures,Sen,,68.0,,1.0,,2008.0,152.0,14.0,vivian davis figures,1537.0,alabama,2008.0,11.0,1.0000001,,,
65,alabama,5.0,wayne parker,Rep,,70.0,,1.0,,2008.0,39.0,15.0,wayne parker,11401.0,alabama,2008.0,6.0,1.0,,,
66,nevada,0.0,brian sandoval,Gov,,2308.0,,10.0,,2016.0,690.0,0.0,danny tarkanian,719.0,nevada,2016.0,8.0,0.82505316,,,
67,nevada,0.0,catherine cortez masto,Sen,,2309.0,C001113,3.0,,2016.0,687.0,1.0,catherine cortez masto,6829.0,nevada,2016.0,21.0,0.9999984,,,
68,nevada,4.0,cresent hardy,Rep,,2312.0,H001070,5.0,,2016.0,184.0,2.0,cresent hardy,4315.0,nevada,2016.0,14.0,0.999997,,,
69,nevada,3.0,danny tarkanian,Rep,,2314.0,,2.0,,2016.0,204.0,3.0,danny tarkanian,719.0,nevada,2016.0,8.0,0.9999879,,,
70,nevada,0.0,dean heller,Sen,Senate,111.0,H001041,10.0,,2016.0,683.0,4.0,joseph j. heck,2844.0,nevada,2016.0,17.0,0.8297933,,,
71,nevada,1.0,dina titus,Rep,,1307.0,T000468,9.0,,2016.0,149.0,5.0,dina titus,3065.0,nevada,2016.0,0.0,0.99999714,,,
72,nevada,2.0,"h.d. ""chip"" evans",Rep,,2316.0,,1.0,,2016.0,145.0,6.0,h. d. evans,8505.0,nevada,2016.0,7.0,0.9288527,,,
73,nevada,0.0,harry reid,Sen,Senate,2317.0,R000146,12.0,,2016.0,687.0,7.0,john h. everhart,12499.0,nevada,2016.0,6.0,0.807026,,,
74,nevada,3.0,jacky rosen,Rep,,2319.0,R000608,2.0,,2016.0,204.0,8.0,jacky s. rosen,8322.0,nevada,2016.0,9.0,0.983071,,,
75,nevada,0.0,joe heck,Sen,,2323.0,H001055,1.0,,2016.0,680.0,9.0,joseph j. heck,2844.0,nevada,2016.0,17.0,0.9440707,,,
76,nevada,2.0,mark amodei,Rep,,2331.0,A000369,10.0,,2016.0,148.0,10.0,mark e. amodei,3052.0,nevada,2016.0,4.0,0.97768044,,,
77,nevada,1.0,mary perry,Rep,,2332.0,,1.0,,2016.0,149.0,11.0,mary perry,16850.0,nevada,2016.0,2.0,0.99999774,,,
78,nevada,4.0,ruben kihuen,Rep,,2336.0,K000390,3.0,,2016.0,184.0,12.0,ruben j. kihuen,8321.0,nevada,2016.0,12.0,0.9816954,,,
79,illinois,18.0,aaron schock,Rep,House,1261.0,S001179,9.0,,2013.0,37.0,0.0,robin kelly,3138.0,illinois,2013.0,4.0,0.8102372,,,
80,illinois,16.0,adam kinzinger,Rep,House,1262.0,K000378,9.0,,2013.0,29.0,1.0,robin kelly,3138.0,illinois,2013.0,4.0,0.768322,,,
81,illinois,11.0,bill foster,Rep,House,1277.0,F000454,9.0,,2013.0,33.0,2.0,curtiss llong bey,17428.0,illinois,2013.0,1.0,0.79837674,,,
82,illinois,1.0,bobby l. rush,Rep,House,1278.0,R000515,3.0,,2013.0,32.0,3.0,robin kelly,3138.0,illinois,2013.0,4.0,0.8096887,,,
83,illinois,10.0,brad schneider,Rep,House,1281.0,S001190,7.0,,2013.0,32.0,4.0,steve piekarczyk,17429.0,illinois,2013.0,6.0,0.80206925,,,
84,illinois,17.0,cheri bustos,Rep,House,1287.0,B001286,9.0,,2013.0,43.0,5.0,curtiss llong bey,17428.0,illinois,2013.0,1.0,0.80928826,,,
85,illinois,3.0,dan lipinski,Rep,,48.0,L000563,5.0,,2013.0,28.0,6.0,steve piekarczyk,17429.0,illinois,2013.0,6.0,0.8150104,,,
86,illinois,7.0,danny k. davis,Rep,House,1293.0,D000096,9.0,,2013.0,35.0,7.0,robin kelly,3138.0,illinois,2013.0,4.0,0.8132823,,,
87,illinois,9.0,jan schakowsky,Rep,,951.0,S001145,10.0,,2013.0,35.0,8.0,elizabeth diane pahlke,17427.0,illinois,2013.0,3.0,0.8249435,,,
88,illinois,15.0,john shimkus,Rep,,1341.0,S000364,9.0,,2013.0,33.0,9.0,steve piekarczyk,17429.0,illinois,2013.0,6.0,0.8040172,,,
89,illinois,4.0,luis gutierrez,Rep,,1355.0,G000535,12.0,,2013.0,27.0,10.0,curtiss llong bey,17428.0,illinois,2013.0,1.0,0.82131326,,,
90,illinois,0.0,mark kirk,Sen,,1359.0,K000360,6.0,,2013.0,610.0,11.0,marcus lewis,5174.0,illinois,2013.0,2.0,0.8354245,,,
91,illinois,5.0,michael quigley,Rep,,1369.0,Q000023,2.0,,2013.0,34.0,12.0,robin kelly,3138.0,illinois,2013.0,4.0,0.82430255,,,
92,illinois,0.0,pat quinn,Gov,,1373.0,,7.0,,2013.0,618.0,13.0,steve piekarczyk,17429.0,illinois,2013.0,6.0,0.8107914,,,
93,illinois,6.0,peter roskam,Rep,House,575.0,R000580,13.0,,2013.0,41.0,14.0,robin kelly,3138.0,illinois,2013.0,4.0,0.82514083,,,
94,illinois,14.0,randy hultgren,Rep,House,1381.0,H001059,10.0,,2013.0,36.0,15.0,robin kelly,3138.0,illinois,2013.0,4.0,0.80638915,,,
95,illinois,0.0,richard j. durbin,Sen,,1306.0,D000563,3.0,,2013.0,612.0,16.0,robin kelly,3138.0,illinois,2013.0,4.0,0.7948445,,,
96,illinois,2.0,robin kelly,Rep,,1394.0,K000385,7.0,,2013.0,27.0,17.0,robin kelly,3138.0,illinois,2013.0,4.0,0.9999998,,,
97,illinois,13.0,rodney davis,Rep,House,1396.0,D000619,9.0,,2013.0,47.0,18.0,robin kelly,3138.0,illinois,2013.0,4.0,0.81621814,,,
98,illinois,8.0,tammy duckworth,Rep,House,1351.0,D000622,6.0,,2013.0,30.0,19.0,robin kelly,3138.0,illinois,2013.0,4.0,0.7907949,,,
99,illinois,12.0,william enyart,Rep,,1276.0,E000292,3.0,,2013.0,31.0,20.0,paul mckinley,17426.0,illinois,2013.0,0.0,0.79176444,,,
100,arizona,5.0,andy biggs,Rep,,96.0,B001302,3.0,,2016.0,142.0,0.0,andy biggs,8721.0,arizona,2016.0,23.0,0.9999964,,,
101,arizona,0.0,ann kirkpatrick,Sen,,99.0,K000368,1.0,,2016.0,1487.0,1.0,ann kirkpatrick,3063.0,arizona,2016.0,36.0,0.99999744,,,
102,arizona,9.0,dave giles,Rep,,108.0,,1.0,,2016.0,197.0,2.0,david victor giles,10875.0,arizona,2016.0,7.0,0.92521816,,,
103,arizona,6.0,david schweikert,Rep,House,110.0,S001183,9.0,,2016.0,196.0,3.0,david schweikert,2994.0,arizona,2016.0,1.0,0.99999875,,,
104,arizona,0.0,doug ducey,Gov,,115.0,,4.0,,2016.0,1495.0,4.0,cary d. dolego,11916.0,arizona,2016.0,6.0,0.8509011,,,
105,arizona,7.0,eve nunez,Rep,,121.0,,1.0,,2016.0,131.0,5.0,eve nuñez,16142.0,arizona,2016.0,17.0,0.9471809,,,
106,arizona,0.0,jeff flake,Sen,Senate,137.0,F000444,9.0,,2016.0,1488.0,6.0,john mccain,43.0,arizona,2016.0,34.0,0.84339213,,,
107,arizona,8.0,joe devivo,Rep,,143.0,,1.0,,2016.0,190.0,7.0,cary d. dolego,11916.0,arizona,2016.0,6.0,0.81700474,,,
108,arizona,0.0,john mccain,Sen,,145.0,M000303,12.0,,2016.0,1497.0,8.0,john mccain,43.0,arizona,2016.0,34.0,0.9999982,,,
109,arizona,6.0,john w. williamson,Rep,,147.0,,1.0,,2016.0,193.0,9.0,w. john williamson,3903.0,arizona,2016.0,0.0,0.97361434,,,
110,arizona,9.0,kyrsten sinema,Rep,House,154.0,S001191,8.0,,2016.0,198.0,10.0,kyrsten sinema,3067.0,arizona,2016.0,8.0,0.9999989,,,
111,arizona,2.0,martha mcsally,Rep,House,159.0,M001197,7.0,,2016.0,208.0,11.0,martha mcsally,3888.0,arizona,2016.0,25.0,0.99999696,,,
112,arizona,2.0,matt heinz,Rep,,160.0,,1.0,,2016.0,206.0,12.0,matthew g. heinz,5503.0,arizona,2016.0,24.0,0.9586824,,,
113,arizona,5.0,matt salmon,Rep,,162.0,S000018,7.0,,2016.0,141.0,13.0,matthew g. heinz,5503.0,arizona,2016.0,24.0,0.8429642,,,
114,arizona,4.0,mikel weisser,Rep,,166.0,,1.0,,2016.0,185.0,14.0,mikel weisser,3901.0,arizona,2016.0,14.0,0.9999966,,,
115,arizona,1.0,paul babeu,Rep,,169.0,,1.0,,2016.0,110.0,15.0,paul babeu,8313.0,arizona,2016.0,20.0,0.9999988,,,
116,arizona,4.0,paul gosar,Rep,House,170.0,G000565,9.0,,2016.0,186.0,16.0,paul gosar,2824.0,arizona,2016.0,15.0,0.9999994,,,
117,arizona,3.0,raul grijalva,Rep,,173.0,G000551,9.0,,2016.0,135.0,17.0,raúl grijalva,2833.0,arizona,2016.0,11.0,0.9779213,,,
118,arizona,7.0,ruben gallego,Rep,House,180.0,G000574,6.0,,2016.0,130.0,18.0,ruben gallego,3883.0,arizona,2016.0,18.0,0.99999744,,,
119,arizona,5.0,talia fuentes,Rep,,187.0,,1.0,,2016.0,143.0,19.0,talia fuentes-wolfe,16129.0,arizona,2016.0,22.0,0.95875037,,,
120,arizona,1.0,tom o'halleran,Rep,,191.0,O000171,3.0,,2016.0,110.0,20.0,tom o'halleran,8312.0,arizona,2016.0,21.0,0.9999962,,,
121,arizona,8.0,trent franks,Rep,House,192.0,F000448,8.0,,2016.0,191.0,21.0,trent franks,2812.0,arizona,2016.0,2.0,0.99999636,,,
122,missouri,9.0,blaine luetkemeyer,Rep,House,2183.0,L000569,4.0,,2008.0,57.0,0.0,blaine luetkemeyer,2896.0,missouri,2008.0,18.0,0.9999997,,,
123,missouri,3.0,chris sander,Rep,,2184.0,,1.0,,2008.0,21.0,1.0,chris sander,16815.0,missouri,2008.0,7.0,1.0000015,,,
124,missouri,0.0,"christopher s. ""kit"" bond",Sen,,2185.0,B000611,1.0,,2008.0,627.0,2.0,thomas l. knapp,14470.0,missouri,2008.0,16.0,0.8093788,,,
125,missouri,0.0,claire mccaskill,Sen,Senate,2186.0,M001170,14.0,,2008.0,716.0,3.0,branden c. mccullough,11743.0,missouri,2008.0,21.0,0.8441885,,,
126,missouri,5.0,"emanuel cleaver, ii",Rep,,917.0,C001061,2.0,,2008.0,81.0,4.0,emanuel cleaver ii,2762.0,missouri,2008.0,25.0,0.98691005,,,
127,missouri,4.0,ike skelton,Rep,,1567.0,S000465,6.0,,2008.0,82.0,5.0,ike skelton,8438.0,missouri,2008.0,4.0,0.9999996,,,
128,missouri,5.0,jacob turk,Rep,,2207.0,,9.0,,2008.0,38.0,6.0,jacob turk,3280.0,missouri,2008.0,24.0,1.0000008,,,
129,missouri,4.0,jeff parnell,Rep,,2215.0,,1.0,,2008.0,34.0,7.0,jeff parnell,16821.0,missouri,2008.0,3.0,0.9999996,,,
130,missouri,8.0,jo ann emerson,Rep,House,2218.0,E000172,8.0,,2008.0,84.0,8.0,jo ann emerson,4923.0,missouri,2008.0,23.0,0.99999976,,,
131,missouri,8.0,joe allen,Rep,,2219.0,,1.0,,2008.0,27.0,9.0,joe allen,16833.0,missouri,2008.0,22.0,1.0000004,,,
132,missouri,9.0,judy baker,Rep,,2221.0,,1.0,,2008.0,54.0,10.0,judy baker,10095.0,missouri,2008.0,17.0,1.0000001,,,
133,missouri,6.0,kay barnes,Rep,,2224.0,,1.0,,2008.0,82.0,11.0,kay waldo barnes,10172.0,missouri,2008.0,1.0,0.94165915,,,
134,missouri,9.0,kenny c. hulshof,Rep,,2225.0,H000948,2.0,,2008.0,72.0,12.0,kenny hulshof,9232.0,missouri,2008.0,32.0,0.97057325,,,
135,missouri,7.0,richard monroe,Rep,,2235.0,,1.0,,2008.0,31.0,13.0,richard monroe,16828.0,missouri,2008.0,10.0,0.9999992,,,
136,missouri,7.0,roy blunt,Rep,House,230.0,B000575,5.0,,2008.0,126.0,14.0,roy blunt,644.0,missouri,2008.0,9.0,1.0000006,,,
137,missouri,3.0,russ carnahan,Rep,House,2239.0,C001060,8.0,,2008.0,51.0,15.0,russ carnahan,634.0,missouri,2008.0,8.0,1.0000001,,,
138,missouri,6.0,sam graves,Rep,,621.0,G000546,14.0,,2008.0,83.0,16.0,sam graves,2827.0,missouri,2008.0,0.0,1.0000013,,,
139,missouri,2.0,todd akin,Rep,,2246.0,A000358,3.0,,2008.0,53.0,17.0,todd akin,1000.0,missouri,2008.0,14.0,0.9999992,,,
140,missouri,2.0,"william c. ""bill"" haas",Rep,,2250.0,,1.0,,2008.0,33.0,18.0,william c. haas,4927.0,missouri,2008.0,15.0,0.9616698,,,
141,missouri,1.0,"william lacy clay, jr.",Rep,,1553.0,C001049,2.0,,2008.0,44.0,19.0,william lacy clay,2761.0,missouri,2008.0,27.0,0.97551054,,,
142,florida,15.0,alan cohn,Rep,,848.0,,2.0,,2014.0,31.0,0.0,alan m. cohn,8001.0,florida,2014.0,11.0,0.96420544,,,
143,florida,9.0,alan grayson,Rep,House,849.0,G000556,7.0,,2014.0,24.0,1.0,alan grayson,3062.0,florida,2014.0,60.0,0.9999994,,,
144,florida,20.0,alcee hastings,Rep,,95.0,H000324,7.0,,2014.0,17.0,2.0,alcee hastings,2842.0,florida,2014.0,44.0,0.99999714,,,
145,florida,4.0,ander crenshaw,Rep,House,854.0,C001045,13.0,,2014.0,22.0,3.0,ander crenshaw,2774.0,florida,2014.0,23.0,0.9999978,,,
146,florida,19.0,april freeman,Rep,,859.0,,2.0,,2014.0,38.0,4.0,april freeman,3158.0,florida,2014.0,35.0,0.9999985,,,
147,florida,0.0,bill nelson,Sen,,862.0,N000032,14.0,,2014.0,732.0,5.0,bill posey,2956.0,florida,2014.0,8.0,0.8705697,,,
148,florida,8.0,bill posey,Rep,House,864.0,P000599,9.0,,2014.0,37.0,6.0,bill posey,2956.0,florida,2014.0,8.0,0.9999971,,,
149,florida,18.0,carl domino,Rep,,872.0,,2.0,,2014.0,22.0,7.0,carl j. domino,3152.0,florida,2014.0,14.0,0.98446286,,,
150,florida,26.0,carlos curbelo,Rep,House,874.0,C001107,6.0,,2014.0,13.0,8.0,carlos curbelo,3150.0,florida,2014.0,56.0,0.9995532,,,
151,florida,9.0,carol platt,Rep,,876.0,,2.0,,2014.0,24.0,9.0,carol platt,3188.0,florida,2014.0,58.0,0.99999636,,,
152,florida,5.0,corrine brown,Rep,House,888.0,B000911,6.0,,2014.0,13.0,10.0,corrine brown,2739.0,florida,2014.0,47.0,0.99999714,,,
153,florida,19.0,curt clawson,Rep,House,890.0,C001102,4.0,,2014.0,74.0,11.0,curtis clawson,3144.0,florida,2014.0,36.0,0.96716607,,,
154,florida,10.0,daniel webster,Rep,,893.0,W000806,7.0,,2014.0,38.0,12.0,daniel webster,3037.0,florida,2014.0,55.0,0.9999988,,,
155,florida,6.0,david cox,Rep,,898.0,,2.0,,2014.0,47.0,13.0,david cox,16404.0,florida,2014.0,9.0,0.99999815,,,
156,florida,13.0,david jolly,Rep,,900.0,J000296,4.0,,2014.0,44.0,14.0,david w. jolly,3143.0,florida,2014.0,40.0,0.97243273,,,
157,florida,11.0,david koller,Rep,,895.0,,2.0,,2014.0,47.0,15.0,david koller,8000.0,florida,2014.0,13.0,0.9999971,,,
158,florida,23.0,debbie wasserman-schultz,Rep,,906.0,W000797,2.0,,2014.0,18.0,16.0,debbie wasserman schultz,3034.0,florida,2014.0,49.0,0.99300027,,,
159,florida,15.0,dennis ross,Rep,House,907.0,R000593,9.0,,2014.0,32.0,17.0,dennis a. ross,2978.0,florida,2014.0,12.0,0.98162603,,,
160,florida,24.0,durfirston neree,Rep,,912.0,,2.0,,2014.0,8.0,18.0,dufirstson julio neree,8004.0,florida,2014.0,30.0,0.8635086,,,
161,florida,24.0,frederica wilson,Rep,House,924.0,W000808,7.0,,2014.0,8.0,19.0,frederica wilson,3042.0,florida,2014.0,28.0,0.9999962,,,
162,florida,8.0,gabriel rothblatt,Rep,,925.0,,2.0,,2014.0,38.0,20.0,gabriel rothblatt,7999.0,florida,2014.0,7.0,0.9999967,,,
163,florida,5.0,glo smith,Rep,,932.0,,3.0,,2014.0,13.0,21.0,gloreatha smith,3198.0,florida,2014.0,48.0,0.91790146,,,
164,florida,12.0,gus bilirakis,Rep,House,128.0,B001257,8.0,,2014.0,43.0,22.0,gus michael bilirakis,2724.0,florida,2014.0,17.0,0.9693456,,,
165,florida,2.0,gwen graham,Rep,,935.0,G000575,4.0,,2014.0,26.0,23.0,gwen graham,7989.0,florida,2014.0,4.0,0.9999968,,,
166,florida,16.0,heny lawrence,Rep,,939.0,,2.0,,2014.0,36.0,24.0,henry lawrence,8002.0,florida,2014.0,18.0,0.95496035,,,
167,florida,27.0,ileana ros-lehtinen,Rep,House,940.0,R000435,9.0,,2014.0,12.0,25.0,ileana ros-lehtinen,2976.0,florida,2014.0,62.0,0.99999774,,,
