candidate_bonica,candidate_ces,politician_id,Unique_Project_ID,office_seat_name,district,cycle,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
gary palmer,kaynen pellegrino,,32,District 6,6,2020,alabama,Rep,,,0,,2020,137,8,alabama,10,0.8016696,,,
lee auman,lee auman,8710,33,District 4,4,2018,alabama,Rep,,,1,,2018,120,5,alabama,2,0.9999959,,,
lucy baxley,lucy baxley,9254,34,,0,2006,alabama,Gov,,,1,,2006,485,7,alabama,12,1.0000001,,,
gordon douglas jones,"luther j. strange, iii",,35,Class II,0,2017,alabama,Sen,,S001202,1,"Appointed, never ran",2017,262,3,alabama,1,0.80023926,,,
mallory hagan,mallory hagan,8709,36,District 3,3,2018,alabama,Rep,,,1,,2018,118,6,alabama,1,0.9999934,,,
mark bray,mark bray,3919,37,District 5,5,2014,alabama,Rep,,,2,,2014,20,7,alabama,8,1.0000002,,,
martha roby,martha roby,2968,38,District 2,2,2016,alabama,Rep,House,R000591,11,,2016,123,5,alabama,4,1,,,
martha roby,martha roby,2968,38,District 2,2,2014,alabama,Rep,House,R000591,11,,2014,7,8,alabama,0,1,,,
mike rogers,mike rogers,2972,40,District 3,3,2020,alabama,Rep,,R000575,13,,2020,116,10,alabama,7,0.9999999,,,
mike rogers,mike rogers,2972,40,District 3,3,2016,alabama,Rep,,R000575,13,,2016,106,6,alabama,8,0.9999999,,,
mike rogers,mike rogers,2972,40,District 3,3,2014,alabama,Rep,,R000575,13,,2014,11,9,alabama,6,0.9999999,,,
mike rogers,mike rogers,2972,40,District 3,3,2008,alabama,Rep,,R000575,13,,2008,41,6,alabama,9,0.9999999,,,
mike rogers,mike rogers,2972,40,District 3,3,2006,alabama,Rep,,R000575,13,,2006,65,8,alabama,1,0.9999999,,,
mo brooks,mo brooks,2737,41,District 5,5,2020,alabama,Rep,House,B001274,10,,2020,160,11,alabama,5,1,,,
mo brooks,mo brooks,2737,41,District 5,5,2016,alabama,Rep,House,B001274,10,,2016,121,7,alabama,2,1,,,
mo brooks,mo brooks,2737,41,District 5,5,2014,alabama,Rep,House,B001274,10,,2014,20,10,alabama,9,1,,,
william mathis,nathan mathis,16108,42,District 2,2,2016,alabama,Rep,,,1,,2016,124,8,alabama,3,0.9136563,,,
nicholas b. sparks,nicholas b. sparks,16111,43,District 4,4,2008,alabama,Rep,,,1,,2008,16,7,alabama,7,0.9999999,,,
rolf parker griffith,parker griffith,3925,44,District 5,5,2008,alabama,Rep,House,G000557,2,,2008,44,8,alabama,5,0.92871976,,,
penny huggins bailey,penny bailey,5550,45,District 6,6,2012,alabama,Rep,,,2,,2012,33,15,alabama,12,0.9405001,,,
peter joffrion,peter joffrion,8711,46,District 5,5,2018,alabama,Rep,,,1,,2018,158,10,alabama,9,0.9999992,,,
phyllis harvey-hall,phyllis harvey-hall,10345,47,District 2,2,2022,alabama,Rep,,,0,,2022,134,13,alabama,4,1.0000005,,,
daniel lipinski,daniel lipinski,2889,48,District 3,3,2006,illinois,Rep,House,L000563,9,,2006,55,6,illinois,30,0.9999988,,,
richard c. shelby,richard c. shelby,363,49,Class III,0,2016,alabama,Sen,Senate,S000320,9,,2016,785,9,alabama,12,1,,,
rick larsen,rick larsen,2882,50,District 2,2,2006,washington,Rep,,L000560,12,,2006,138,17,washington,10,1.0000006,,,
rick neighbors,rick neighbors,5560,51,District 4,4,2020,alabama,Rep,,,0,,2020,130,14,alabama,1,1,,,
robert b. aderholt,robert b. aderholt,2715,52,District 4,4,2006,alabama,Rep,,A000055,2,,2006,68,10,alabama,7,1.0000002,,,
robert julian bentley,robert j. bently,6645,53,,0,2014,alabama,Gov,,,3,,2014,109,13,alabama,13,0.91942453,,,
robert kennedy (al),"robert kennedy, jr.",8707,54,District 1,1,2018,alabama,Rep,,,1,,2018,129,13,alabama,4,0.9264762,,,
ronald steven crumpton,ron crumpton,8195,55,Class III,0,2016,alabama,Sen,,,1,,2016,779,13,alabama,11,0.9300562,,,
spencer bachus,spencer bachus,2717,56,District 6,6,2008,alabama,Rep,,B000013,11,,2008,41,12,alabama,0,1.0000001,,,
spencer bachus,spencer bachus,2717,56,District 6,6,2006,alabama,Rep,,B000013,11,,2006,89,12,alabama,5,1.0000001,,,
stephen g. segrest,stephen segrest,16110,57,District 3,3,2010,alabama,Rep,,,1,,2010,86,14,alabama,10,0.9767827,,,
steve raby,steve raby,8376,58,District 5,5,2010,alabama,Rep,,,1,,2010,123,15,alabama,5,0.99999815,,,
tabitha isner,tabitha isner,8708,59,District 2,2,2018,alabama,Rep,,,1,,2018,129,14,alabama,6,0.9999946,,,
terri a. sewell,terri a. sewell,3001,60,District 7,6,2012,alabama,Rep,,S001185,2,,2012,2,23,alabama,8,0.99999917,,,
terry everett,terry everett,13200,62,District 2,2,2006,alabama,Rep,,,3,,2006,74,13,alabama,3,1.0000001,,,
therese ford,therese ford,5555,64,District 2,2,2012,alabama,Rep,,,2,,2012,28,25,alabama,2,1.0000001,,,
tommy tuberville,tommy tuberville,9772,66,Class II,0,2020,alabama,Sen,,T000278,0,,2020,947,17,alabama,12,1.0000001,,,
travis w. childers,travis w. childers,4695,67,District 1,1,2008,mississippi,Rep,House,C001074,1,,2008,50,12,mississippi,7,0.9999964,,,
travis w. childers,travis w. childers,4695,67,District 1,1,2008,mississippi,Rep,House,C001074,1,,2008,50,12,mississippi,7,0.9999964,,,
travis w. childers,travis w. childers,4695,67,District 1,1,2008,mississippi,Rep,House,C001074,1,,2008,50,12,mississippi,7,0.9999964,,,
vivian davis figures,vivian davis figures,1537,68,Class II,0,2008,alabama,Sen,,,1,,2008,152,14,alabama,11,1.0000001,,,
vivian sheffield beckerle,vivian sheffield beckerle,15739,69,District 1,1,2006,alabama,Rep,,,1,,2006,56,14,alabama,10,1,,,
wayne parker,wayne parker,11401,70,District 5,5,2008,alabama,Rep,,,1,,2008,39,15,alabama,6,1,,,
will boyd,will boyd,16112,71,Class III,0,2022,alabama,Sen,,,0,,2022,940,19,alabama,20,1.0000002,,,
william g. barnes,william g. barnes,364,72,Class III,0,2010,alabama,Sen,,,1,,2010,350,18,alabama,12,0.99999684,,,
al gross,al gross,10296,73,Class II,0,2020,alaska,Sen,,,0,,2020,115,0,alaska,3,1,,,
alyse s. galvin,alyse galvin,9095,74,District 1,1,2020,alaska,Rep,,,1,,2020,115,1,alaska,1,0.9647273,,,
alyse s. galvin,alyse galvin,9095,74,District 1,1,2018,alaska,Rep,,,1,,2018,97,0,alaska,0,0.9647273,,,
bill walker,bill walker,6594,75,,0,2018,alaska,Gov,,,4,,2018,97,1,alaska,5,1,,,
dan sullivan,dan sullivan,4545,76,Class II,0,2020,alaska,Sen,,S001198,4,,2020,115,2,alaska,4,0.99999994,,,
diane benson,diane benson,9356,77,District 1,0,2006,alaska,Rep,,,1,,2006,129,0,alaska,4,0.9999977,,,
don young,don young,3049,78,District 1,1,2020,alaska,Rep,,Y000033,9,,2020,115,3,alaska,0,1.0000002,,,
don young,don young,3049,78,District 1,1,2018,alaska,Rep,,Y000033,9,,2018,97,3,alaska,1,1.0000002,,,
don young,don young,3049,78,District 1,1,2016,alaska,Rep,,Y000033,9,,2016,115,2,alaska,1,1.0000002,,,
don young,don young,3049,78,District 1,1,2012,alaska,Rep,,Y000033,9,,2012,40,0,alaska,2,1.0000002,,,
don young,don young,3049,78,District 1,0,2010,alaska,Rep,,Y000033,5,,2010,135,0,alaska,1,1.0000002,,,
ethan berkowitz,ethan a. berkowitz,6757,79,District 1,0,2008,alaska,Rep,,,1,,2008,51,1,alaska,2,0.9767859,,,
forrest dunbar,forest dunbar,3664,80,District 1,1,2014,alaska,Rep,,,2,,2014,18,2,alaska,0,0.92439866,,,
sarah palin,frank murkowski,,81,,0,2006,alaska,Gov,,M001085,1,,2006,130,2,alaska,10,0.8196621,,,
harry t. crawford,"harry crawford, jr.",8374,82,District 1,0,2010,alaska,Rep,,,1,,2010,132,1,alaska,0,0.95732015,,,
joe miller,joe miller,351,83,Class III,0,2010,alaska,Sen,,,1,,2010,58,2,alaska,5,1.0000001,,,
joe miller,joe miller,351,83,Class III,0,2010,alaska,Sen,,,1,,2010,58,2,alaska,5,1.0000001,,,
lisa murkowski,lisa murkowski,350,84,Class III,0,2016,alaska,Sen,Senate,M001153,13,,2016,114,3,alaska,8,1.0000004,,,
mark begich,mark begich,1526,85,Class II,0,2008,alaska,Sen,Senate,B001265,9,,2008,64,3,alaska,5,1,,,
mike dunleavy,mike dunleavy,9125,86,,0,2022,alaska,Gov,,,0,,2022,135,3,alaska,11,0.99999905,,,
ray metcalfe,ray metcalfe,8184,87,Class III,0,2016,alaska,Sen,,,1,,2016,111,4,alaska,4,1.0000001,,,
sarah palin,sarah palin,6,88,District 1,1,2022,alaska,Rep,,,0,,2022,135,5,alaska,2,0.9999972,,,
sarah palin,sarah palin,6,88,District 1,1,2022,alaska,Rep,,,0,,2022,135,5,alaska,2,0.9999972,,,
sarah palin,sarah palin,6,88,District 1,1,2022,alaska,Rep,,,0,,2022,135,5,alaska,2,0.9999972,,,
sarah palin,sarah palin,6,88,District 1,1,2022,alaska,Rep,,,0,,2022,135,5,alaska,2,0.9999972,,,
sarah palin,sarah palin,6,88,District 1,1,2022,alaska,Rep,,,0,,2022,135,5,alaska,2,0.9999972,,,
sarah palin,sarah palin,6,88,,0,2006,alaska,Gov,,,1,,2006,130,4,alaska,10,0.9999972,,,
scott t. mcadams,scott t. mcadams,352,89,Class III,0,2010,alaska,Sen,,,1,,2010,58,6,alaska,3,0.99999994,,,
sean r. parnell,sean parnell,6477,90,,0,2014,alaska,Gov,,,8,,2014,18,5,alaska,7,0.9696108,,,
sharon m. cissna,sharon cissna,5417,91,District 1,1,2012,alaska,Rep,,,2,,2012,39,4,alaska,1,0.985811,,,
steve lindbeck,steve lindbeck,8315,92,District 1,1,2016,alaska,Rep,,,1,,2016,115,5,alaska,0,1.0000001,,,
ted stevens,ted stevens,1527,93,Class II,0,2008,alaska,Sen,,S000888,3,,2008,71,4,alaska,3,1,,,
tony knowles,tony knowles,1897,94,,0,2006,alaska,Gov,,,1,,2006,130,6,alaska,6,0.999998,,,
alcee hastings,alcee hastings,2842,95,District 20,20,2020,florida,Rep,,H000324,7,,2020,119,3,florida,69,0.9999994,,,
andy biggs,andy biggs,8721,96,District 5,5,2022,arizona,Rep,,B001302,3,,2022,147,0,arizona,6,0.99999905,,,
andy biggs,andy biggs,8721,96,District 5,5,2018,arizona,Rep,,B001302,3,,2018,181,0,arizona,4,0.99999905,,,
andrew m. tobin,andy tobin,3896,97,District 1,1,2014,arizona,Rep,,,2,,2014,18,0,arizona,20,0.9023826,,,
anita malik,anita malik,9608,98,District 6,6,2018,arizona,Rep,,,1,,2018,192,1,arizona,17,1,,,
ann kirkpatrick,ann kirkpatrick,3063,99,District 2,2,2018,arizona,Rep,House,K000368,2,,2018,216,2,arizona,9,1.0000001,,,
ben quayle,ben quayle,5516,100,District 3,3,2010,arizona,Rep,House,Q000024,2,,2010,210,1,arizona,5,0.9999983,,,
bob lord,bob lord,10092,101,District 3,3,2008,arizona,Rep,,,1,,2008,58,1,arizona,8,0.99999875,,,
brad sherman,brad sherman,3002,102,District 32,32,2022,california,Rep,House,S000344,0,,2022,104,12,california,9,1.0000013,,,
brad sherman,brad sherman,3002,102,District 27,27,2006,california,Rep,House,S000344,7,,2006,67,9,california,66,1.0000013,,,
brandon martin,brandon martin,10872,103,District 2,2,2020,arizona,Rep,,,0,,2020,252,2,arizona,16,0.9999963,,,
brian n. baird,brian baird,14043,104,District 3,3,2008,washington,Rep,House,B001229,6,,2008,92,1,washington,14,0.9807181,,,
bruce l. braley,bruce braley,2736,105,District 1,1,2012,iowa,Rep,House,B001259,9,,2012,56,1,iowa,4,0.97564983,,,
bruce l. braley,bruce braley,2736,105,District 1,1,2010,iowa,Rep,House,B001259,9,,2010,100,3,iowa,8,0.97564983,,,
bruce l. braley,bruce braley,2736,105,District 1,1,2008,iowa,Rep,House,B001259,9,,2008,55,0,iowa,4,0.97564983,,,
bruce l. braley,bruce braley,2736,105,District 1,1,2006,iowa,Rep,House,B001259,9,,2006,76,0,iowa,5,0.97564983,,,
bruce l. braley,bruce braley,2736,105,Class II,0,2014,iowa,Sen,,B001259,2,,2014,112,0,iowa,15,0.97564983,,,
charles k. djou,charles djou,3344,106,District 1,1,2014,hawaii,Rep,House,D000611,5,,2014,8,2,hawaii,3,0.972486,,,
daniel wood,daniel wood,10352,107,District 3,3,2020,arizona,Rep,,,0,,2020,115,3,arizona,25,0.9999957,,,
david victor giles,dave giles,10875,108,District 9,9,2020,arizona,Rep,,,1,,2020,154,4,arizona,11,0.9252941,,,
david brill,david brill,8719,109,District 4,4,2018,arizona,Rep,,,1,,2018,201,3,arizona,20,0.99999905,,,
david schweikert,david schweikert,2994,110,District 1,1,2022,arizona,Rep,House,S001183,0,,2022,193,3,arizona,22,1.0000004,,,
david schweikert,david schweikert,2994,110,District 6,6,2018,arizona,Rep,House,S001183,9,,2018,192,4,arizona,18,1.0000004,,,
dean heller,dean heller,1021,111,District 2,2,2010,nevada,Rep,House,H001041,6,,2010,220,0,nevada,11,1,,,
dean heller,dean heller,1021,111,District 2,2,2008,nevada,Rep,House,H001041,6,,2008,130,0,nevada,12,1,,,
dean heller,dean heller,1021,111,District 2,2,2006,nevada,Rep,House,H001041,6,,2006,156,0,nevada,6,1,,,
dean heller,dean heller,1021,111,Class I,0,2018,nevada,Sen,Senate,H001041,10,,2018,647,5,nevada,19,1,,,
debbie lesko,debbie lesko,8517,112,District 8,8,2022,arizona,Rep,House,L000589,1,,2022,174,4,arizona,17,1.0000006,,,
debbie lesko,debbie lesko,8517,112,District 8,8,2018,arizona,Rep,House,L000589,1,,2018,217,5,arizona,22,1.0000006,,,
debbie lesko,debbie lesko,8517,112,District 8,8,2018,arizona,Rep,House,L000589,1,,2018,217,5,arizona,22,1.0000006,,,
delina disanto,delina disanto,10873,113,District 4,4,2020,arizona,Rep,,,0,,2020,187,7,arizona,6,0.9999978,,,
don j. karg,don karg,15319,114,District 4,4,2008,arizona,Rep,,,2,,2008,10,3,arizona,27,0.9325039,,,
doug ducey,doug ducey,6623,115,,0,2018,arizona,Gov,,,4,,2018,1587,6,arizona,36,1.000001,,,
doug lamborn,doug lamborn,2878,116,District 5,5,2020,colorado,Rep,House,L000564,14,,2020,165,5,colorado,21,1.0000001,,,
doug lamborn,doug lamborn,2878,116,District 5,5,2018,colorado,Rep,House,L000564,14,,2018,174,4,colorado,15,1.0000001,,,
doug lamborn,doug lamborn,2878,116,District 5,5,2008,colorado,Rep,House,L000564,14,,2008,43,3,colorado,10,1.0000001,,,
doug lamborn,doug lamborn,2878,116,District 5,5,2006,colorado,Rep,House,L000564,14,,2006,82,6,colorado,22,1.0000001,,,
ed pastor,ed pastor,2944,117,District 4,4,2010,arizona,Rep,House,P000099,6,,2010,118,3,arizona,28,0.9999996,,,
edward r. royce,edward r. royce,2980,118,District 40,40,2006,california,Rep,,R000487,1,,2006,45,27,california,26,0.9999762,,,
ellen s. simon,ellen simon,10053,119,District 1,1,2006,arizona,Rep,,,1,,2006,87,2,arizona,12,0.94881034,,,
david john sanchez,david sanchez,3816,120,District 40,40,2014,california,Rep,,,4,,2014,6,27,california,61,0.9726312,,,
eve nuñez,eve nunez,16142,121,District 7,7,2016,arizona,Rep,,,1,,2016,131,5,arizona,17,0.9471809,,,
gabriela saucedo mercer,gabriela saucedo mercer,3895,123,District 3,3,2012,arizona,Rep,,,2,,2012,32,15,arizona,12,0.9999999,,,
gabrielle giffords,gabrielle giffords,391,124,District 8,8,2006,arizona,Rep,House,G000554,6,,2006,147,3,arizona,3,0.9999966,,,
gene p. scharer,gene scharer,5519,125,District 8,8,2012,arizona,Rep,,,2,,2012,75,17,arizona,15,0.96088344,,,
jeff flake,glenn fuller,,126,District 6,6,2006,arizona,Rep,,,1,Was disqualified before running in the general,2006,114,4,arizona,7,0.824256,,,
greg stanton,greg stanton,8723,127,District 4,4,2022,arizona,Rep,House,S001211,0,,2022,182,7,arizona,19,1.0000015,,,
greg stanton,greg stanton,8723,127,District 9,9,2018,arizona,Rep,House,S001211,1,,2018,181,7,arizona,15,1.0000015,,,
gus michael bilirakis,gus michael bilirakis,2724,128,District 9,9,2008,florida,Rep,,B001257,1,,2008,80,22,florida,5,0.9999984,,,
harry e. mitchell,harry mitchell,8381,129,District 5,5,2008,arizona,Rep,,M001167,4,,2008,72,6,arizona,19,0.9731795,,,
herb paine,herb paine,15747,130,District 3,3,2006,arizona,Rep,,,1,,2006,120,6,arizona,17,0.999997,,,
hiral tipirneni,hiral tipirneni,8516,131,District 6,6,2020,arizona,Rep,,,0,,2020,163,10,arizona,28,0.99999946,,,
j.d. hayworth,j.d. hayworth,393,132,District 5,5,2006,arizona,Rep,,,1,,2006,161,7,arizona,2,0.9999964,,,
james woods,james woods,3904,133,District 5,5,2014,arizona,Rep,,,2,,2014,30,5,arizona,23,0.9999965,,,
janice kay brewer,jan brewer,6957,134,,0,2010,arizona,Gov,,,8,,2010,1510,6,arizona,39,0.91162574,,,
janet contreras,janet contreras,16126,135,District 4,4,2010,arizona,Rep,,,1,,2010,119,7,arizona,29,0.9999997,,,
janet napolitano,janet napolitano,6810,136,,0,2006,arizona,Gov,,,1,,2006,943,8,arizona,28,0.99999744,,,
jeff flake,jeff flake,938,137,Class I,0,2012,arizona,Sen,Senate,F000444,9,,2012,532,21,arizona,32,0.9999995,,,
jesse kelly,jesse kelly,5505,139,District 8,8,2010,arizona,Rep,,,1,,2010,242,9,arizona,21,0.99999803,,,
jim pederson,jim pederson,1715,140,Class I,0,2006,arizona,Sen,,,1,,2006,939,10,arizona,26,0.99999696,,,
joan greene,joan greene,8720,141,District 5,5,2018,arizona,Rep,,,1,,2018,180,10,arizona,3,0.9999996,,,
joe cobb,joe cobb,3882,142,District 7,7,2014,arizona,Rep,,,2,,2014,11,8,arizona,13,0.9999987,,,
cary d. dolego,joe devivo,,143,District 9,8,2016,arizona,Rep,,,1,,2016,190,7,arizona,6,0.81700474,,,
john b. shadegg,john b. shadegg,10093,144,District 3,3,2008,arizona,Rep,House,S000275,2,,2008,77,8,arizona,9,0.9999983,,,
john mccain,john mccain,43,145,Class III,0,2010,arizona,Sen,,M000303,12,,2010,714,10,arizona,38,1.0000004,,,
john a. thrasher,john thrasher,15746,146,District 2,2,2010,arizona,Rep,,,3,,2010,259,13,arizona,10,0.97273344,,,
w. john williamson,john w. williamson,3903,147,District 6,6,2016,arizona,Rep,,,1,,2016,193,9,arizona,0,0.97361434,,,
johnnie robinson,johnnie elbert robinson,3892,148,District 4,4,2012,arizona,Rep,,,2,,2012,35,25,arizona,4,0.951451,,,
jon hulburd,jon hulburd,8380,149,District 3,3,2010,arizona,Rep,,,1,,2010,205,14,arizona,6,0.9999947,,,
jon kyl,jon kyl,942,150,Class I,0,2006,arizona,Sen,,K000352,8,,2006,933,14,arizona,24,0.9999975,,,
jonathan paton,jonathan paton,5513,151,District 1,1,2012,arizona,Rep,,,2,,2012,42,27,arizona,0,0.9999993,,,
joseph dudley sweeney,joseph sweeney,15323,152,District 7,7,2008,arizona,Rep,,,1,,2008,12,11,arizona,12,0.93738526,,,
joshua barnett,josh barnett,10354,153,District 7,7,2020,arizona,Rep,,,0,,2020,121,12,arizona,8,0.9748339,,,
kyrsten sinema,kyrsten sinema,3067,154,Class I,0,2018,arizona,Sen,Senate,S001191,1,,2018,1586,12,arizona,26,0.99999964,,,
lea marquez peterson,lea marquez peterson,8717,155,District 2,2,2018,arizona,Rep,,,1,,2018,216,13,arizona,11,1.000001,,,
len munsil,len munsil,9256,156,,0,2006,arizona,Gov,,,1,,2006,934,15,arizona,30,0.99999803,,,
leonard l. boswell,leonard l. boswell,5136,157,District 3,1,2012,iowa,Rep,,B000652,2,,2012,3,8,iowa,2,1.0000002,,,
leonard l. boswell,leonard l. boswell,5136,157,District 3,3,2008,iowa,Rep,House,B000652,2,,2008,68,6,iowa,8,1.0000002,,,
leonard l. boswell,leonard l. boswell,5136,157,District 3,3,2006,iowa,Rep,House,B000652,2,,2006,73,8,iowa,4,1.0000002,,,
mark kelly,mark kelly,9705,158,Class III,0,2022,arizona,Sen,,K000377,0,,2022,1623,16,arizona,35,0.9999998,,,
martha mcsally,martha mcsally,3888,159,District 2,2,2012,arizona,Rep,House,M001197,7,,2012,84,30,arizona,21,1.0000005,,,
martha mcsally,martha mcsally,3888,159,Class I,0,2018,arizona,Sen,Senate,M001197,1,,2018,1586,14,arizona,24,1.0000005,,,
matthew g. heinz,matt heinz,5503,160,District 2,2,2016,arizona,Rep,,,1,,2016,206,12,arizona,24,0.9586824,,,
matthew jette,matt jette,5504,161,District 6,6,2012,arizona,Rep,,,2,,2012,72,32,arizona,7,0.9657108,,,
matt salmon,matt salmon,3058,162,District 5,5,2012,arizona,Rep,,S000018,7,,2012,54,33,arizona,26,1,,,
michael n. castle,michael n. castle,454,163,District 1,0,2006,delaware,Rep,,C000243,2,,2006,108,3,delaware,1,1.0000002,,,
michael muscato,michael muscato,10874,164,District 8,8,2020,arizona,Rep,,,0,,2020,193,16,arizona,20,0.9999988,,,
mike coffman,mike coffman,2765,165,District 6,6,2018,colorado,Rep,House,C001077,13,,2018,115,14,colorado,8,1.0000001,,,
mike coffman,mike coffman,2765,165,District 6,6,2008,colorado,Rep,House,C001077,13,,2008,42,14,colorado,7,1.0000001,,,
mikel weisser,mikel weisser,3901,166,District 4,4,2016,arizona,Rep,,,1,,2016,185,14,arizona,14,0.9999966,,,
nicolas pierson,nick pierson,16125,168,District 3,3,2018,arizona,Rep,,,1,,2018,116,15,arizona,13,0.9256519,,,
paul babeu,paul babeu,8313,169,District 1,1,2016,arizona,Rep,,,1,,2016,110,15,arizona,20,0.9999988,,,
paul gosar,paul gosar,2824,170,District 4,4,2018,arizona,Rep,House,G000565,9,,2018,202,16,arizona,21,0.9999994,,,
paul gosar,paul gosar,2824,170,District 4,4,2016,arizona,Rep,House,G000565,9,,2016,186,16,arizona,15,0.9999994,,,
paul gosar,paul gosar,2824,170,District 1,1,2010,arizona,Rep,House,G000565,4,,2010,149,16,arizona,0,0.9999994,,,
philip g. hare,phil hare,8419,171,District 17,17,2006,illinois,Rep,House,H001040,6,,2006,89,30,illinois,13,0.90951836,,,
randy j. graf,randy graf,10194,172,District 8,8,2006,arizona,Rep,,,1,,2006,146,16,arizona,6,0.9780203,,,
raúl grijalva,raul grijalva,2833,173,District 3,1,2012,arizona,Rep,,G000551,2,,2012,3,39,arizona,14,0.9779952,,,
rebecca l. schneider,rebecca schneider,16131,174,District 6,6,2010,arizona,Rep,,,2,,2010,207,18,arizona,16,0.9815093,,,
richard carmona,richard carmona,1070,175,Class I,0,2012,arizona,Sen,,,2,,2012,530,40,arizona,34,1.0000001,,,
richard renzi,rick renzi,10051,176,District 1,1,2006,arizona,Rep,House,R000574,3,,2006,88,18,arizona,14,0.96085906,,,
