state,district,candidate,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year,obs
alabama,2,"Charles ""Chuck"" Dean James",Rep,,11,,1,,2006,74
alabama,5,Charlie Holley,Rep,,12,,2,,2012,42
alabama,5,Charlie Holley,Rep,,12,,2,,2012,103
alabama,5,Dale Strong,Rep,House,4135,S001220,0,,2022,137
alabama,4,Daniel Boman,Rep,,13,,2,,2012,30
alabama,4,Daniel Boman,Rep,,13,,2,,2012,94
alabama,6,Danner Kline,Rep,,14,,1,,2018,145
alabama,6,David J. Putman,Rep,,15,,1,,2016,103
alabama,7,Don Chamberlain,Rep,,16,,3,,2012,25
alabama,7,Don Chamberlain,Rep,,16,,3,,2010,94
alabama,7,Don Chamberlain,Rep,,16,,3,,2012,109
alabama,0,Doug Jones,Sen,,17,J000300,1,,2018,931
alabama,0,Doug Jones,Sen,,17,J000300,1,,2019,269
alabama,0,Doug Jones,Sen,,17,J000300,1,,2020,947
alabama,2,Erick Wright,Rep,,18,,2,,2014,7
alabama,2,Erick Wright,Rep,,18,,2,,2014,109
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2014,19
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2014,99
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2015,20
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2016,104
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2017,39
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2018,145
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2019,37
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2020,137
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2021,62
alabama,6,Gary Palmer,Rep,,19,P000609,6,,2022,139
alabama,3,"Glenn Thompson, Jr.",Rep,,20,T000467,1,,2012,1
alabama,3,Greg A. Pierce,Rep,,21,,1,,2006,66
alabama,1,James Averhart,Rep,,22,,0,,2020,132
alabama,2,Jay Love,Rep,,23,,1,,2008,38
alabama,2,Jeff Miller,Rep,,957,M001144,1,,2012,1
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2006,476
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2007,134
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2008,283
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2012,213
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2014,106
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2010,660
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2011,231
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2012,739
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2013,214
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2014,712
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2015,193
alabama,0,Jeff Sessions,Sen,,25,S001141,12,,2016,784
alabama,0,"Jefferson Beauregard ""Jeff"" Sessions III",Sen,,25,S001141,1,,2009,198
alabama,1,Jerry Carl,Rep,,26,C001054,0,,2020,132
alabama,1,Jerry Carl,Rep,,26,C001054,0,,2021,48
alabama,1,Jerry Carl,Rep,,26,C001054,0,,2022,142
alabama,3,Jesse Smith,Rep,,27,,3,,2014,11
alabama,3,Jesse Smith,Rep,,27,,3,,2014,92
alabama,3,Jesse Smith,Rep,,27,,3,,2016,105
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2006,58
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2007,17
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2008,45
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2009,34
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2012,28
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2011,32
alabama,1,Jo Bonner,Rep,,28,B001244,7,,2012,108
alabama,7,Jo Bonner,Rep,,28,B001244,1,,2012,1
alabama,3,John Andrew Harris,Rep,,29,,2,,2012,26
alabama,3,John Andrew Harris,Rep,,29,,2,,2012,93
alabama,3,Joshua  Segall,Rep,,30,,1,,2008,31
alabama,1,Josiah 'Jo' Bonner,Rep,,28,B001244,1,,2010,87
alabama,5,Kathy Warner-Stanton,Rep,,4136,,0,,2022,136
alabama,0,Katie Britt,Sen,,4137,B001319,0,,2022,941
alabama,0,Kay Ivey,Gov,,31,,2,,2017,262
alabama,0,Kay Ivey,Gov,,31,,2,,2018,928
alabama,0,Kay Ivey,Gov,,31,,2,,2019,269
alabama,0,Kay Ivey,Gov,,31,,2,,2020,947
alabama,0,Kay Ivey,Gov,,31,,2,,2021,397
alabama,0,Kay Ivey,Gov,,31,,2,,2022,939
alabama,6,Kaynen Pellegrino,Rep,,32,,0,,2020,137
alabama,4,Lee Auman,Rep,,33,,1,,2018,120
alabama,3,Lin Veasey,Rep,,4138,,0,,2022,124
alabama,0,Lucy Baxley,Gov,,34,,1,,2006,485
alabama,0,"Luther J. Strange, III",Sen,,35,S001202,1,"Appointed, never ran",2017,262
alabama,3,Mallory Hagan,Rep,,36,,1,,2018,118
alabama,5,Mark Bray,Rep,,37,,2,,2014,20
alabama,5,Mark Bray,Rep,,37,,2,,2014,109
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2012,27
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2014,7
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2010,84
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2011,32
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2012,128
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2013,33
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2014,111
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2015,26
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2016,123
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2017,30
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2018,129
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2019,36
alabama,2,Martha Roby,Rep,House,38,R000591,11,,2020,134
alabama,4,Martha Roby,Rep,,38,R000591,1,,2012,1
alabama,7,Martha Roby,Rep,,38,R000591,2,,2012,2
alabama,7,Martha Roby,Rep,,38,R000591,2,,2012,11
alabama,1,Michael McCaul,Rep,,3651,M001157,1,,2012,1
alabama,3,Michael Rogers,Rep,,40,R000575,1,,2010,88
alabama,7,Michael Rogers,Rep,,40,R000575,1,,2012,1
alabama,3,Mike D. Rogers,Rep,,40,R000575,1,,2011,35
alabama,2,Mike Rogers,Rep,,40,R000575,2,,2012,4
alabama,2,Mike Rogers,Rep,,40,R000575,2,,2012,15
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2006,65
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2007,12
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2008,41
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2009,35
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2012,25
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2014,11
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2012,92
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2013,27
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2014,92
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2015,28
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2016,106
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2017,32
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2018,117
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2019,29
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2020,116
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2021,47
alabama,3,Mike Rogers,Rep,,40,R000575,13,,2022,124
alabama,4,Mike Rogers,Rep,,40,R000575,2,,2012,1
alabama,4,Mike Rogers,Rep,,40,R000575,2,,2012,1
alabama,6,Mike Rogers,Rep,,40,R000575,1,,2012,1
alabama,7,Mike Rogers,Rep,,40,R000575,2,,2012,1
alabama,7,Mike Rogers,Rep,,40,R000575,2,,2012,1
alabama,4,Mo Brooks,Rep,,41,B001274,2,,2012,5
alabama,4,Mo Brooks,Rep,,41,B001274,2,,2012,11
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2012,43
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2014,20
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2011,39
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2012,103
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2013,37
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2014,107
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2015,27
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2016,121
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2017,44
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2018,158
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2019,47
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2020,160
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2021,72
alabama,5,Mo Brooks,Rep,House,41,B001274,10,,2022,136
alabama,5,Morris Brooks,Rep,,41,B001274,1,,2010,127
alabama,2,Nathan Mathis,Rep,,42,,1,,2016,124
alabama,4,Nicholas B. Sparks,Rep,,43,,1,,2008,16
alabama,5,Parker Griffith,Rep,House,44,G000557,2,,2008,44
alabama,5,Parker Griffith,Rep,House,44,G000557,2,,2009,30
alabama,6,Penny Bailey,Rep,,45,,2,,2012,33
alabama,6,Penny Bailey,Rep,,45,,2,,2012,105
alabama,5,Peter Joffrion,Rep,,46,,1,,2018,158
alabama,2,Phyllis Harvey-Hall,Rep,,47,,0,,2020,134
alabama,2,Phyllis Harvey-Hall,Rep,,47,,0,,2022,134
alabama,4,R. Parker Griffith,Rep,,44,G000557,1,,2012,5
alabama,5,R. Parker Griffith,Rep,,44,G000557,2,,2012,39
alabama,5,R. Parker Griffith,Rep,,44,G000557,2,,2010,128
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2006,480
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2008,273
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2012,213
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2014,106
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2010,364
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2012,737
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2013,214
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2014,714
alabama,0,Richard C. Shelby,Sen,Senate,49,S000320,9,,2016,785
alabama,0,Richard Craig Shelby,Sen,,49,S000320,1,,2009,200
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2007,132
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2010,305
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2011,233
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2015,193
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2017,262
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2018,931
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2019,270
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2020,947
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2021,397
alabama,0,Richard Shelby,Sen,,49,S000320,6,,2022,940
alabama,6,Rick Larsen,Rep,,50,L000560,1,,2012,1
alabama,4,Rick Neighbors,Rep,,51,,0,,2020,130
alabama,4,Rick Neighbors,Rep,,51,,0,,2022,125
alabama,4,Robert Aderhold,Rep,,52,A000055,2,,2012,31
alabama,4,Robert Aderhold,Rep,,52,A000055,2,,2012,94
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2007,17
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2008,35
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2014,19
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2010,71
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2011,35
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2013,22
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2014,84
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2015,28
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2016,93
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2017,39
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2018,120
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2019,43
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2020,130
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2021,61
alabama,4,Robert Aderholt,Rep,House,52,A000055,11,,2022,125
alabama,5,Robert Aderholt,Rep,,52,A000055,2,,2012,4
alabama,5,Robert Aderholt,Rep,,52,A000055,2,,2012,3
alabama,5,Robert Aderholt,Rep,,52,A000055,2,,2022,1
alabama,6,Robert Aderholt,Rep,,52,A000055,2,,2012,1
alabama,6,Robert Aderholt,Rep,,52,A000055,2,,2012,5
alabama,4,Robert Anderholt,Rep,,52,A000055,1,,2016,92
alabama,4,Robert B. Aderholt,Rep,,52,A000055,2,,2006,68
alabama,4,Robert B. Aderholt,Rep,,52,A000055,2,,2009,21
alabama,0,Robert Bentley,Gov,,53,,3,,2012,217
alabama,0,Robert Bentley,Gov,,53,,3,,2011,235
alabama,0,Robert Bentley,Gov,,53,,3,,2012,741
alabama,5,Robert E. (Bud) Cramer,Rep,House,9,C000868,2,,2006,82
alabama,5,Robert E. (Bud) Cramer,Rep,House,9,C000868,2,,2008,44
alabama,0,Robert J. Bentley,Gov,,53,,2,,2015,193
alabama,0,Robert J. Bentley,Gov,,53,,2,,2016,783
alabama,0,Robert J. Bently,Gov,,53,,3,,2014,109
alabama,0,Robert J. Bently,Gov,,53,,3,,2013,217
alabama,0,Robert J. Bently,Gov,,53,,3,,2014,720
alabama,1,"Robert Kennedy, Jr.",Rep,,54,,1,,2018,129
alabama,0,"Robert Renfroe ""Bob"" Riley",Gov,,6,R000258,1,,2009,197
alabama,0,Ron Crumpton,Sen,,55,,1,,2016,779
alabama,1,Spencer Bachus,Rep,,56,B000013,1,,2012,1
alabama,3,Spencer Bachus,Rep,,56,B000013,2,,2012,5
alabama,3,Spencer Bachus,Rep,,56,B000013,2,,2012,7
alabama,4,Spencer Bachus,Rep,,56,B000013,1,,2012,4
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2006,89
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2007,23
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2008,41
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2009,29
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2012,35
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2014,20
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2010,119
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2011,24
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2012,108
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2013,26
alabama,6,Spencer Bachus,Rep,,56,B000013,11,,2014,100
alabama,7,Spencer Bachus,Rep,,56,B000013,2,,2012,2
alabama,7,Spencer Bachus,Rep,,56,B000013,2,,2012,4
alabama,3,Stephen Segrest,Rep,,57,,1,,2010,86
alabama,5,Steve Raby,Rep,,58,,1,,2010,123
alabama,2,Tabitha Isner,Rep,,59,,1,,2018,129
alabama,6,Terri A. Sewell,Rep,,60,S001185,2,,2012,2
alabama,6,Terri A. Sewell,Rep,,60,S001185,2,,2012,4
alabama,7,Terri A. Sewell,Rep,,60,S001185,1,,2013,44
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2012,25
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2014,14
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2011,33
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2012,108
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2014,103
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2015,38
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2016,132
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2017,35
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2018,131
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2019,39
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2020,138
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2021,58
alabama,7,Terri Sewell,Rep,House,60,S001185,9,,2022,140
alabama,2,Terry Everett,Rep,,62,,3,,2006,74
alabama,2,Terry Everett,Rep,,62,,3,,2007,17
alabama,2,Terry Everett,Rep,,62,,3,,2008,28
alabama,7,Terrycina 'Terri' Sewell,Rep,,60,S001185,1,,2010,95
alabama,2,Therese Ford,Rep,,64,,2,,2012,28
alabama,2,Therese Ford,Rep,,64,,2,,2012,125
alabama,5,Tom Rooney,Rep,,64,,1,,2012,1
alabama,0,Tommy Tuberville,Sen,,66,T000278,0,,2020,947
alabama,0,Tommy Tuberville,Sen,,66,T000278,0,,2021,397
alabama,0,Tommy Tuberville,Sen,,66,T000278,0,,2022,941
alabama,1,Travis Childers,Rep,,67,C001074,1,,2012,1
alabama,0,Vivian Davis Figures,Sen,,68,,1,,2008,152
alabama,1,Vivian Sheffield Beckerle,Rep,,69,,1,,2006,56
alabama,5,Wayne Parker,Rep,,70,,1,,2008,39
alabama,0,Will Boyd,Sen,,71,,0,,2022,940
alabama,5,"Will Boyd, Jr.",Rep,,71,,1,,2016,117
alabama,0,William Barnes,Sen,,72,,1,,2010,294
alabama,0,William G. Barnes,Sen,,72,,1,,2010,350
alaska,0,Al Gross,Sen,,73,,0,,2020,115
alaska,1,Alyse Galvin,Rep,,74,,1,,2018,97
alaska,1,Alyse Galvin,Rep,,74,,1,,2020,115
alaska,0,Bill Walker,Gov,,75,,4,,2015,23
alaska,0,Bill Walker,Gov,,75,,4,,2016,114
alaska,0,Bill Walker,Gov,,75,,4,,2017,33
alaska,0,Bill Walker,Gov,,75,,4,,2018,97
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2014,18
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2014,95
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2015,23
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2016,113
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2019,28
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2020,115
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2021,55
alaska,0,Dan Sullivan,Sen,,76,S001198,4,,2022,135
alaska,0,Daniel S. Sullivan,Sen,,76,S001198,2,,2017,33
alaska,0,Daniel S. Sullivan,Sen,,76,S001198,2,,2018,97
alaska,0,Diane Benson,Rep,,77,,1,,2006,129
alaska,0,Don E. Young,Rep,,78,Y000033,1,,2008,68
alaska,0,Don Young,Rep,,78,Y000033,5,,2006,129
alaska,0,Don Young,Rep,,78,Y000033,5,,2007,23
alaska,0,Don Young,Rep,,78,Y000033,5,,2009,36
alaska,0,Don Young,Rep,,78,Y000033,5,,2010,135
alaska,0,Don Young,Rep,,78,Y000033,5,,2011,52
alaska,1,Don Young,Rep,,78,Y000033,9,,2012,40
alaska,1,Don Young,Rep,,78,Y000033,9,,2014,18
alaska,1,Don Young,Rep,,78,Y000033,9,,2012,124
alaska,1,Don Young,Rep,,78,Y000033,9,,2013,31
alaska,1,Don Young,Rep,,78,Y000033,9,,2014,96
alaska,1,Don Young,Rep,,78,Y000033,9,,2015,23
alaska,1,Don Young,Rep,,78,Y000033,9,,2016,115
alaska,1,Don Young,Rep,,78,Y000033,9,,2017,33
alaska,1,Don Young,Rep,,78,Y000033,9,,2018,97
alaska,1,Don Young,Rep,,78,Y000033,9,,2019,28
alaska,1,Don Young,Rep,,78,Y000033,9,,2020,115
alaska,1,Don Young,Rep,,78,Y000033,9,,2021,55
alaska,0,Ethan A. Berkowitz,Rep,,79,,1,,2008,51
alaska,1,Forest Dunbar,Rep,,80,,2,,2014,18
alaska,1,Forest Dunbar,Rep,,80,,2,,2014,95
alaska,0,Frank Murkowski,Gov,,81,M001085,1,,2006,130
alaska,0,"Harry Crawford, Jr.",Rep,,82,,1,,2010,132
alaska,0,Joe Miller,Sen,,83,,1,,2010,58
alaska,0,Joseph Miller,Sen,,83,,1,,2010,74
alaska,0,Lisa Ann Murkowski,Sen,,84,M001153,1,,2009,36
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2006,129
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2007,23
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2008,68
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2012,40
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2014,18
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2011,52
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2012,125
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2013,29
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2014,96
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2015,23
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2016,114
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2017,33
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2018,97
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2019,28
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2020,115
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2021,55
alaska,0,Lisa Murkowski,Sen,Senate,84,M001153,13,,2022,135
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2008,64
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2009,36
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2012,40
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2014,18
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2010,133
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2011,52
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2012,125
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2013,30
alaska,0,Mark Begich,Sen,Senate,85,B001265,9,,2014,96
alaska,1,Mary Peltola,Rep,,4139,P000619,0,,2022,135
alaska,0,Mike Dunleavy,Gov,,86,,0,,2019,28
alaska,0,Mike Dunleavy,Gov,,86,,0,,2020,115
alaska,0,Mike Dunleavy,Gov,,86,,0,,2021,55
alaska,0,Mike Dunleavy,Gov,,86,,0,,2022,135
alaska,0,Patricia Chesbro,Sen,,4140,,0,,2022,135
alaska,0,Ray Metcalfe,Sen,,87,,1,,2016,111
alaska,0,Sarah Palin,Gov,,88,,1,,2006,130
alaska,1,Sarah Palin,Rep,,88,,0,,2022,135
alaska,0,Scott McAdams,Sen,,89,,1,,2010,72
alaska,0,Scott T. McAdams,Sen,,89,,1,,2010,58
alaska,0,Sean Parnell,Gov,,90,,8,,2009,36
alaska,0,Sean Parnell,Gov,,90,,8,,2012,42
alaska,0,Sean Parnell,Gov,,90,,8,,2014,18
alaska,0,Sean Parnell,Gov,,90,,8,,2010,134
alaska,0,Sean Parnell,Gov,,90,,8,,2011,52
alaska,0,Sean Parnell,Gov,,90,,8,,2012,124
alaska,0,Sean Parnell,Gov,,90,,8,,2013,29
alaska,0,Sean Parnell,Gov,,90,,8,,2014,96
alaska,1,Sharon Cissna,Rep,,91,,2,,2012,39
alaska,1,Sharon Cissna,Rep,,91,,2,,2012,123
alaska,1,Steve Lindbeck,Rep,,92,,1,,2016,115
alaska,0,Ted Stevens,Sen,,93,S000888,3,,2006,127
alaska,0,Ted Stevens,Sen,,93,S000888,3,,2007,23
alaska,0,Ted Stevens,Sen,,93,S000888,3,,2008,71
alaska,0,Tony Knowles,Gov,,94,,1,,2006,130
arizona,9,Alcee Hastings,Rep,,95,H000324,1,,2012,1
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2016,142
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2017,51
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2018,181
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2019,50
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2020,156
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2021,68
arizona,5,Andy Biggs,Rep,,96,B001302,3,,2022,147
arizona,1,Andy Tobin,Rep,,97,,2,,2014,18
arizona,1,Andy Tobin,Rep,,97,,2,,2014,110
arizona,6,Anita Malik,Rep,,98,,1,,2018,192
arizona,0,Ann Kirkpatrick,Sen,,99,K000368,1,,2016,1487
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2008,46
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2009,34
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2012,70
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2014,18
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2010,150
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2012,106
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2013,21
arizona,1,Ann Kirkpatrick,Rep,House,99,K000368,9,,2014,111
