candidate_name,politician_id,state,cycle
Angie Craig,8229,minnesota,2024
Kelly Morrison,22754,minnesota,2024
Tad Jude,22755,minnesota,2024
Betty McCollum,2909,minnesota,2024
May Lor Xiong,18618,minnesota,2024
Pete Stauber,8896,minnesota,2024
Jen Schultz,18095,minnesota,2024
Daniel Ebers,22538,nebraska,2024
Adrian Smith,3009,nebraska,2024
"John ""Bongo"" Salvesen",22576,georgia,2024
Mario Diaz-Balart,2788,florida,2024
Joey Atkins,22707,florida,2024
Phil Ehr,8778,florida,2024
Carlos A. Gimenez,10320,florida,2024
Evangeline Hundley,18622,south carolina,2024
Ralph W. Norman,8299,south carolina,2024
Ralph E. Hartman,18936,florida,2024
Greg Steube,10405,florida,2024
Manny Lopez,22847,florida,2024
Andrea Doria Kale,18636,florida,2024
Scott Franklin,11032,florida,2024
"Joseph ""Joe"" Kaufman",3164,florida,2024
Jared Moskowitz,17969,florida,2024
Brian Jack,22575,georgia,2024
"Alexandra ""Lexy"" Doherty",22534,georgia,2024
Andrew Clyde,10967,georgia,2024
Tambrei Cash,22533,georgia,2024
Nikema Williams,10421,georgia,2024
Maura Keller,22532,georgia,2024
Chris Deluzio,18255,pennsylvania,2024
Rob Mercuri,19351,pennsylvania,2024
Preston Nouri,22545,pennsylvania,2024
Mike Kelly,2870,pennsylvania,2024
Summer Lee,18252,pennsylvania,2024
James Hayes,22609,pennsylvania,2024
Matt Cartwright,3125,pennsylvania,2024
Rob Bresnahan Jr.,22608,pennsylvania,2024
Mary Gay Scanlon,8984,pennsylvania,2024
Alfeia Goodwin,22606,pennsylvania,2024
Wesley Bell,19046,missouri,2024
Andrew Jones,18100,missouri,2024
Rochelle A. Riggins,22841,missouri,2024
Stephen Ashby,12894,missouri,2024
Don Fitz,8245,missouri,2024
Julie Fedorchak,19837,north dakota,2024
,,north dakota,2024
Trygve Hammer,19840,north dakota,2024
John Lee,18355,nevada,2024
Russell Best,4306,nevada,2024
Timothy John Ferreira,22824,nevada,2024
Steven Horsford,3113,nevada,2024
Mike Flood,18120,nebraska,2024
Carol Blood,18118,nebraska,2024
Monica Tranel,18572,montana,2024
Dennis Hayes,22835,montana,2024
Ryan K. Zinke,3294,montana,2024
Ron Eller,22593,mississippi,2024
Bennie G. Thompson,3017,mississippi,2024
Trent Kelly,7991,mississippi,2024
Dianne Dodson Black,18542,mississippi,2024
"A.J. ""John"" Peters",22757,minnesota,2024
Michelle Fischbach,10960,minnesota,2024
Ilhan Omar,10981,minnesota,2024
Dalia Al-Aqidi,22756,minnesota,2024
Katherine M. Clark,3141,massachusetts,2024
Lori Loureiro Trahan,10484,massachusetts,2024
Teresa Leger Fernandez,10552,new mexico,2024
Sharon E. Clahchischilliage,22644,new mexico,2024
Amy Cox,22522,ohio,2024
Mike Turner,3026,ohio,2024
Michael Harbaugh,23045,ohio,2024
Melissa McDonough,22517,texas,2024
Avery L. Ayers,4596,texas,2024
Wesley P. Hunt,9725,texas,2024
Brian Babin,3972,texas,2024
Dayna Steele,9042,texas,2024
Steven Wright,22617,texas,2024
Greg Casar,17785,texas,2024
"Jrmar ""JJ"" Jefferson",8764,texas,2024
Jasmine Crockett,18299,texas,2024
Kristin Hook,22510,texas,2024
Chip Roy,8664,texas,2024
Bob King,22850,texas,2024
Peter Sessions,3000,texas,2024
Mark Lorenzen,22509,texas,2024
Craig Goldman,22611,texas,2024
Trey J. Hunt,17775,texas,2024
Caroline Kane,22610,texas,2024
Lizzie Fletcher,8606,texas,2024
Sandeep Srivastava,17769,texas,2024
Keith Self,18294,texas,2024
Shri Thanedar,18811,michigan,2024
Christopher Clark,22925,michigan,2024
Simone Coleman,18846,michigan,2024
,,michigan,2024
Martell D. Bivings,18407,michigan,2024
Christopher Dardzinski,18845,michigan,2024
James D. Hooper,22719,michigan,2024
Rashida Tlaib,8879,michigan,2024
Brenda K. Sanders,18915,michigan,2024
Gary Walkowicz,10969,michigan,2024
John James,8689,michigan,2024
Carl J. Marlinga,15053,michigan,2024
Mike Saliba,10941,michigan,2024
Andrea Kirby,10977,michigan,2024
Curtis Hertel,19441,michigan,2024
Tom Barrett,18079,michigan,2024
Leah Rachel Dailey,18728,michigan,2024
Libbi Urban,22715,michigan,2024
Tim Walberg,3031,michigan,2024
James Bronke,22920,michigan,2024
Bill Huizenga,2854,michigan,2024
Jessica Swartz,22714,michigan,2024
Curtis Michael Clark,18862,michigan,2024
Ben DeJong,22917,michigan,2024
Scott Adams,22918,michigan,2024
Michael Lynch,19418,michigan,2024
John Moolenaar,3236,michigan,2024
Becca Balint,18384,vermont,2024
,,vermont,2024
Mark Coester,18317,vermont,2024
Adam Ortiz,18832,vermont,2024
Jill Diamondstone,22901,vermont,2024
Peter Williams,12923,louisiana,2024
Quentin Anthony Anderson,22747,louisiana,2024
Cleo Fields,22748,louisiana,2024
Elbert Guillory,6429,louisiana,2024
Wilken Jones Jr.,23004,louisiana,2024
Julia Letlow,17657,louisiana,2024
Michael Vallien Jr.,23003,louisiana,2024
"M.V. ""Vinny"" Mendoza",6077,louisiana,2024
Clay Higgins,9185,louisiana,2024
Priscilla Gonzalez,23000,louisiana,2024
Xan John,10952,louisiana,2024
Sadi Summerlin,23001,louisiana,2024
Richard W. Allen,3302,georgia,2024
"Elizabeth ""Liz"" Johnson",10413,georgia,2024
Mike Collins,3308,georgia,2024
Steven Corvi,22759,rhode island,2024
Seth Magaziner,18259,rhode island,2024
,,rhode island,2024
Jane George,22727,tennessee,2024
Tim Burchett,9003,tennessee,2024
Jean Howard-Hill,5625,tennessee,2024
Chuck Fleischmann,2806,tennessee,2024
Stephen King,22981,tennessee,2024
Jack Allen,22728,tennessee,2024
Keith Nolan,22983,tennessee,2024
Victoria Isabel Broderick,22729,tennessee,2024
Scott DesJarlais,2786,tennessee,2024
Earnest Ensley,22982,tennessee,2024
Lore Bergman,22800,tennessee,2024
John Rose,9008,tennessee,2024
Dennis Clark,10687,tennessee,2024
Charlotte Bergmann,4079,tennessee,2024
Wendell Blankenship,22987,tennessee,2024
Steve Cohen,2766,tennessee,2024
Celeste Maloy,19048,utah,2024
Cassie Easley,18310,utah,2024
Nathaniel Woodward,23022,utah,2024
Tyler Murset,22975,utah,2024
Robert J. Wittman,3043,virginia,2024
Leslie C. Mehta,22672,virginia,2024
Robert E. Reid,22890,virginia,2024
Jen A. Kiggans,18325,virginia,2024
Missy Cotter Smasal,22625,virginia,2024
Jennifer L. McClellan,19060,virginia,2024
"William J. ""Bill"" Moher III",22892,virginia,2024
Cody Hart,22805,washington,2024
Rick Larsen,2882,washington,2024
Joe Kent,18825,washington,2024
Marie Gluesenkamp Perez,18591,washington,2024
Dan Newhouse,4230,washington,2024
Jerrod Sessler,22735,washington,2024
Mark Pocan,3137,wisconsin,2024
Erik Olsen,18826,wisconsin,2024
Robert Raymond,5709,wisconsin,2024
Gwen Moore,2926,wisconsin,2024
Micah Leavitt,23130,wisconsin,2024
Tim Rogers,9070,wisconsin,2024
Paul Buskirk,22709,kansas,2024
Tracey Mann,10894,kansas,2024
Kenneth Kusmierski,23141,connecticut,2024
Joe Courtney,2772,connecticut,2024
Jeffery Russell,12777,connecticut,2024
Mike France,17932,connecticut,2024
Bertram Ferguson,23146,connecticut,2024
Ahmad Darwish,23145,connecticut,2024
Jahana Hayes,10400,connecticut,2024
George Logan,17936,connecticut,2024
Mariannette Miller-Meeks,3442,iowa,2024
Christina Bohannan,18038,iowa,2024
Jared Forrest Golden,8672,maine,2024
Austin Theriault,19423,maine,2024
Michael Louis Dublin,22881,north carolina,2024
Alan D. Swain,10522,north carolina,2024
Deborah K. Ross,8095,north carolina,2024
Eric Blankenburg,22594,north carolina,2024
Guy Philip Meilleur,22883,north carolina,2024
Valerie P. Foushee,18184,north carolina,2024
Marlando D. Pridgen,22526,north carolina,2024
David Rouzer,3525,north carolina,2024
Shelane Camille Etchison,22884,north carolina,2024
Nigel William Bristow,22500,north carolina,2024
Richard Hudson,3106,north carolina,2024
Addul Ali,22595,north carolina,2024
Alma S. Adams,3489,north carolina,2024
Bruce Lou,22556,california,2024
Nancy Pelosi,2946,california,2024
Vin Kruttiventi,22557,california,2024
Eric Swalwell,3072,california,2024
John Kittleson,18488,colorado,2024
Jason Crow,8607,colorado,2024
John E. Fabbricatore,22630,colorado,2024
Brad Nickle,23160,colorado,2024
Travis L. Nicks,23059,colorado,2024
Peter D. Hernandez,18369,california,2024
Zoe Lofgren,2892,california,2024
Vince Fong,19208,california,2024
Mike Boudreaux,19207,california,2024
Michael Maher,18611,california,2024
Jim Costa,2771,california,2024
Thomas Cole,22561,california,2024
Salud Carbajal,8345,california,2024
Michael Koslow,22563,california,2024
Julia Brownley,3074,california,2024
Judy Chu,2758,california,2024
April A. Verlato,22564,california,2024
Benito Benny Bernal,8741,california,2024
Luz Maria Rivas,22496,california,2024
Kevin Kiley,17605,california,2024
Jessica Morse,8751,california,2024
Tom Herman,22567,california,2024
Pete Aguilar,3686,california,2024
Ken Calvert,2744,california,2024
Will Rollins,17900,california,2024
Steve Williams,22570,california,2024
Maxine Waters,3035,california,2024
Dave Min,19021,california,2024
Scott Baugh,17903,california,2024
Juan Vargas,3080,california,2024
Justin Lee,22574,california,2024
Gaylon Kent,4557,colorado,2024
Jan Kok,11729,colorado,2024
Joe Neguse,8767,colorado,2024
Mike Watson,23159,colorado,2024
Cynthia Munhos de Aquino Sirianni,23053,colorado,2024
Marshall Dawson,18419,colorado,2024
Andrew R. Garbarino,10592,new york,2024
Rob Lubin,22648,new york,2024
Susan P. Hall,5459,colorado,2024
James K. Treibert,23162,colorado,2024
Christopher Baum,23062,colorado,2024
Gabe Evans,19401,colorado,2024
Yadira Caraveo,17921,colorado,2024
Joseph Severino,18018,illinois,2024
Jim Carris,22582,illinois,2024
Brad Schneider,3091,illinois,2024
Roy Jones,11744,illinois,2024
Lauren Underwood,8564,illinois,2024
Constant G. Vlakancic,12620,illinois,2024
"James T. ""Jim"" Marter",8100,illinois,2024
Mike Quigley,2959,illinois,2024
Tommy Hanson,8830,illinois,2024
Frank Bennett Rowder,11740,illinois,2024
Hank Linderman,8847,kentucky,2024
S. Brett Guthrie,2835,kentucky,2024
Randy Cravens,18962,kentucky,2024
Andy Barr,3098,kentucky,2024
Dakotah Miskus,22944,indiana,2024
Randy Niemeyer,22585,indiana,2024
Frank J. Mrvan,10452,indiana,2024
James Sceniak,18026,indiana,2024
Jefferson Shreve,22586,indiana,2024
"Cynthia ""Cinde"" Wirth",18031,indiana,2024
Russell Scott Johnson,18033,indiana,2024
André Carson,2751,indiana,2024
John George Schmitz,1087,indiana,2024
Jasen Wunder,13422,maryland,2024
Kim Klacik,10497,maryland,2024
"John ""Johnny O"" Olszewski Jr.",19436,maryland,2024
Glenn F. Ivey,18060,maryland,2024
George McDermott,4280,maryland,2024
Joseph F. Salerno,22636,new jersey,2024
Jeff Van Drew,8921,new jersey,2024
Thomas Cannavo,22856,new jersey,2024
Christopher Russomanno,18548,new jersey,2024
Steven W. Welzer,4449,new jersey,2024
Rajesh Mohan,22637,new jersey,2024
Herb Conaway,15557,new jersey,2024
Justin Barbera,22857,new jersey,2024
Douglas Wynn,22858,new jersey,2024
Christopher H. Smith,3010,new jersey,2024
Barry Bendar,22859,new jersey,2024
John Morrison,22860,new jersey,2024
Matthew Jenkins,18137,new jersey,2024
Mary Jo Guinchard,22638,new jersey,2024
Josh Gottheimer,8325,new jersey,2024
Aamir Arif,22861,new jersey,2024
James Tosone,9629,new jersey,2024
Beau Forte,22862,new jersey,2024
Benjamin Taylor,22869,new jersey,2024
Nellie Pou,22988,new jersey,2024
Bruno Pereira,22868,new jersey,2024
Billy Prempeh,10550,new jersey,2024
Donna Weiss,22872,new jersey,2024
Michelle Middleton,22870,new jersey,2024
Cynthia A. Johnson,13251,new jersey,2024
Jon Serrano,22871,new jersey,2024
Carmen Bucco,22642,new jersey,2024
LaMonica McIver,22641,new jersey,2024
Laura A. Gillen,18160,new york,2024
Anthony P. D'Esposito,18161,new york,2024
John Delaney,3100,new york,2024
Hakeem Jeffries,3115,new york,2024
Menachem M. Raitport,18835,new york,2024
Yvette D. Clarke,2760,new york,2024
Mike Zumbluskas,18168,new york,2024
Jerry Nadler,2930,new york,2024
Adriano Espaillat,3554,new york,2024
Ruben D. Vargas,22654,new york,2024
Gonzalo Duran,22655,new york,2024
Jose David Vega,22935,new york,2024
Ritchie Torres,10883,new york,2024
David Wagenhauser,22659,new york,2024
Claudia Tenney,3582,new york,2024
Gregg A. Sadwick,22660,new york,2024
Joseph D. Morelle,8943,new york,2024
Riley Moore,19290,west virginia,2024
Steven Wendelin,22547,west virginia,2024
Pablo José Hernández,23063,puerto rico,2024
,,puerto rico,2024
Roberto Karlo Velázquez Correa,23077,puerto rico,2024
Viviana Ramírez-Morales,23065,puerto rico,2024
Ana Irma Rivera Lassén,23064,puerto rico,2024
William Ely Villafañe,21385,puerto rico,2024
James C. Moylan,23072,guam,2024
,,guam,2024
Ginger Cruz,23071,guam,2024
Mike Lawler,18639,new york,2024
Mondaire L. Jones,10582,new york,2024
Anthony Frascone,22877,new york,2024
Josh Riley,18560,new york,2024
Marcus Molinaro,9142,new york,2024
Chris Eddy,22848,florida,2024
Eddie Goldfarb,23083,florida,2024
Debbie Wasserman Schultz,3034,florida,2024
Jesus Gabriel Navarro,18855,florida,2024
Frederica Wilson,3042,florida,2024
Lavern Spicer,10408,florida,2024
Anna Paulina Luna,11028,florida,2024
Whitney Fox,19766,florida,2024
Tony D'Arrigo,23081,florida,2024
Daniel Webster,3037,florida,2024
Barbie Harden Hall,22698,florida,2024
Neal Dunn,8789,florida,2024
Yen Bailey,22816,florida,2024
Stacey E. Plaskett,23079,u.s. virgin islands,2024
Ida Smith,23218,u.s. virgin islands,2024
,,u.s. virgin islands,2024
Ronald Pickard,18882,u.s. virgin islands,2024
Mike Erickson,10174,oregon,2024
Andrea Salinas,18458,oregon,2024
David W. Walker,17055,oregon,2024
Joe Meyer,22969,oregon,2024
Maxine E. Dexter,22540,oregon,2024
David K. Frosch,18399,oregon,2024
Joanna Harbour,10648,oregon,2024
Josh Brecheen,5718,oklahoma,2024
Frank D. Lucas,2895,oklahoma,2024
Dusty Johnson,8675,south dakota,2024
Sheryl Johnson,22668,south dakota,2024
French Hill,3676,arkansas,2024
Marcus A. Jones,22490,arkansas,2024
Jack Bergman,8335,michigan,2024
Callie Barr,22711,michigan,2024
Liz Hakola,18842,michigan,2024
Andrew Gale,18724,michigan,2024
Kathy Goodwin,10976,michigan,2024
Jim Casha,16751,michigan,2024
James Little,22923,michigan,2024
Steve Barcelo,22922,michigan,2024
Paul Junge,10881,michigan,2024
Kristen McDonald Rivet,21714,michigan,2024
Jim Walkowicz,18844,michigan,2024
Lisa McClain,10902,michigan,2024
Kevin Vayko,22924,michigan,2024
Clinton St. Mosley,22717,michigan,2024
Pat Fallon,10915,texas,2024
Simon Cardell,22506,texas,2024
"Ruth ""Truth"" Torres",18754,texas,2024
Lance Gooden,9045,texas,2024
Jeff Miller,23015,texas,2024
Michael T. McCaul,2907,texas,2024
Theresa Boisseau,22507,texas,2024
Michelle Vallejo,18575,texas,2024
Monica De La Cruz,10705,texas,2024
Sam Eppler,22513,texas,2024
Beth Van Duyne,10301,texas,2024
Tanya Lloyd,22515,texas,2024
Michael Cloud,9033,texas,2024
Julie Johnson,19281,texas,2024
Kevin A. Hale,10751,texas,2024
Darrell Day,22616,texas,2024
Marc Veasey,3132,texas,2024
Patrick David Gillespie,17783,texas,2024
Elizabeth Anderson,22488,alabama,2024
Gary Palmer,3935,alabama,2024
Matt Diemer,18414,ohio,2024
Max Miller,18212,ohio,2024
Dennis J. Kucinich,41,ohio,2024
Adam Miller,22524,ohio,2024
Mike Carey,17707,ohio,2024
Nadia Milleron,22749,massachusetts,2024
Richard E. Neal,2932,massachusetts,2024
Cornelius Shea,23067,massachusetts,2024
James P. McGovern,2911,massachusetts,2024
Jake Auchincloss,11107,massachusetts,2024
Sana A. Fadel,23116,massachusetts,2024
Brad Finstad,18536,minnesota,2024
Rachel Bohman,22752,minnesota,2024
David Scott Goossen,4313,nevada,2024
Ron Quince,22827,nevada,2024
Mark Robertson,18127,nevada,2024
David Havlicek,22825,nevada,2024
William Edison Hoge,22826,nevada,2024
